,Country Code,Year,Country Name,Corruption Perception Index,IncomeGroup,region_USAID,region_WorldBank,Gni Growth (Annual %),Claims On Central Government (Annual Growth As % Of Broad Money),Claims On Private Sector (Annual Growth As % Of Broad Money),"Inflation, Gdp Deflator: Linked Series (Annual %)","Foreign Direct Investment, Net Inflows (% Of Gdp)",Broad Money Growth (Annual %),"Foreign Direct Investment, Net Outflows (% Of Gdp)","Intentional Homicides (Per 100,000 People)",Food Production Index (2004-2006 = 100),"Inflation, Consumer Prices (Annual %)",Net Barter Terms Of Trade Index (2000 = 100),Exports Of Goods And Services (% Of Gdp),Price Level Ratio Of Ppp Conversion Factor (Gdp) To Market Exchange Rate,Total Tax And Contribution Rate (% Of Profit),Bank Liquid Reserves To Bank Assets Ratio (%),Total Reserves (% Of Total External Debt),Gross Savings (% Of Gdp),Merchandise Exports To Low- And Middle-Income Economies Within Region (% Of Total Merchandise Exports),Merchandise Exports To Low- And Middle-Income Economies Outside Region (% Of Total Merchandise Exports),Domestic Private Health Expenditure (% Of Current Health Expenditure)
280,AFG,2015,Afghanistan,11.0,Low income,South and Central Asia (SCA),South Asia,4.492735496,-0.069038666,0.576109002,2.447563008,0.849679315,3.079021968,0.010865731000000002,9.783921782,119.0,-0.661709165,154.2115483,7.119569063999999,0.277135475,36.1,70.7065554,264.5836808,17.27232711,72.81321254,19.5518379,78.3822937
308,AFG,2016,Afghanistan,15.0,Low income,South and Central Asia (SCA),South Asia,4.61413291,-2.280229677,-0.27311331,5.102712888,0.483360246,9.72542826,0.072335409,6.551163456,125.41,4.383891955,163.4791706,5.867036072,0.257036725,47.9,83.07985766,280.4281513,23.97139422,82.55937412,13.15580758,75.97433472
336,AFG,2017,Afghanistan,15.0,Low income,South and Central Asia (SCA),South Asia,4.650655707,-4.439011086,0.403097319,1.9477226419999998,0.25522241100000004,4.093274968,0.055768965999999996,6.678401441,132.80848,4.975951506,168.7567961,5.70973391,0.252569402,71.4,97.84893552,298.0278301,24.53868691,83.05229315,12.80953944,75.48404694
364,AFG,2018,Afghanistan,16.0,Low income,South and Central Asia (SCA),South Asia,4.601285013,-7.988514185,-0.581035976,0.6177562360000001,0.612978578,2.574153785,0.199152818,6.655561152000001,131.48463999999998,0.626149149,164.6672286,8.260286801,0.233800547,71.4,70.76263963,314.9925461,20.00777059,84.28908269,11.59039315,76.42114614
392,AFG,2019,Afghanistan,16.0,Low income,South and Central Asia (SCA),South Asia,4.595221353,-0.053917814,0.17172376,2.239099329,0.122605763,5.704360372999999,0.137796759,6.528274443,137.1192,2.302372515,162.0786421,7.75379772,0.218924862,71.4,69.57862642,308.32570319999996,18.85059955,83.42628919,12.60206951,76.03065367
420,ALB,2005,Albania,,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,4.741108099,1.0949138520000001,10.46218934,3.303491113,3.259768342,14.12521463,0.050440708,4.988969195,97.92,2.3665819569999997,91.62800804,23.01298514,0.455863464,58.6,23.69498562,67.62931094,30.25589018,4.468733217,0.943735771,54.24315798
428,ALB,2006,Albania,,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,5.187164892,1.9285038190000001,12.40652795,2.480665739,3.654851781,16.04623885,0.118029595,3.101513179,102.21,2.370728319,91.64816182,25.20960484,0.453256124,56.9,21.15081967,71.92699923,29.07796941,4.650057424,1.367041802,55.79842953
436,ALB,2007,Albania,29.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,5.369146147,2.112623224,14.15367533,4.3898996839999995,6.1089815860000005,13.67503414,0.045988312,3.4607858360000003,103.82,2.9326824819999997,91.25127842,28.24787244,0.494108557,46.3,18.23749404,72.77439509,23.94816772,7.258789721,3.914698987,55.85241486
444,ALB,2008,Albania,34.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,3.389418832,2.057786988,12.28072491,4.117185731,9.682069946,7.667533427,2.8408173530000003,3.097230044,108.06,3.3631375739999996,90.48279073,25.30241695,0.531157187,50.0,15.88052271,55.47120498,17.65161675,17.36597428,2.908203303,52.93926237
452,ALB,2009,Albania,32.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,1.408288762,2.3574843690000002,4.820399657,2.4226458980000003,11.17062673,6.837072452999999,3.27669589,2.8590226039999997,112.42,2.231396835,90.65621759999999,25.24071661,0.46637581,44.0,14.3959553,51.38458398,17.28521864,13.75743124,5.680830466000001,53.59871595
460,ALB,2010,Albania,33.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,4.226521676,0.242119637,4.894029628,4.493106682,9.138129797000001,12.48579986,0.388922676,4.307963049,118.43,3.6223354110000003,94.74331273,27.97942273,0.42493746,40.6,14.56792976,46.69271262,19.96304427,16.39441456,6.885566217999999,35.15308088
468,ALB,2011,Albania,31.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,3.6098473789999996,1.8627330969999998,4.925123434,2.314785504,8.135332973999999,9.167788795,1.567711422,4.848731527,124.65,3.4291232469999997,94.24817375,29.24153534,0.43468290600000004,38.7,13.47955855,38.08757632,20.5437268,21.13741952,3.2547800419999997,42.42547245
476,ALB,2012,Albania,33.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,0.651926442,-0.715787506,0.688688502,1.04242473,7.45135734,4.9768724010000005,0.675159015,5.387614869,133.04,2.03159594,95.70232888,28.93748744,0.403525645,38.8,13.41181257,35.18496126,19.63081593,16.74151091,4.397311065,53.14941719
484,ALB,2013,Albania,31.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,3.45312925,0.966699602,-0.6658299289999999,0.288751645,9.816290193,2.276105785,0.222675777,4.270284193999999,134.39,1.937617549,95.27850962,28.91632263,0.417469529,31.7,13.89330083,30.58317014,17.74112529,19.44281049,5.469354066,41.29017744
492,ALB,2014,Albania,33.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,0.9989362820000001,1.843374123,0.9164650390000001,1.549878619,8.693041027000001,4.013124685,0.571867766,4.039627015,141.72,1.625865044,93.67623943,28.21300894,0.40665528700000003,31.6,13.61330659,30.84562101,15.93720742,20.64897979,4.748773338,37.10451518
500,ALB,2015,Albania,36.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,2.463495686,-2.677622606,-1.238400455,0.563958925,8.690539128,1.764720649,0.6965102879999999,2.214131417,145.71,1.896174026,92.55933096,27.26740028,0.338947784,36.9,18.08360844,36.25299596,16.85710482,22.50678329,3.855556303,37.31152779
508,ALB,2016,Albania,39.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,3.742521472,0.21625088399999998,0.171027315,-0.632442859,8.805091261,3.88758243,0.05934278900000001,2.7369477910000004,150.93,1.275431684,93.42326869,28.97789681,0.343587364,36.9,18.05088063,35.5626414,17.05333106,17.49608614,4.193671043999999,39.16291819
516,ALB,2017,Albania,38.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,2.641249592,-0.438478464,-0.339543792,1.451115725,7.855468032999999,0.274642648,-0.8155041040000001,2.010977859,147.2602,1.986661332,94.4383893,31.56979807,0.34755061200000004,37.3,17.36724557,35.6640589,16.54666219,18.75773884,4.088900541,43.00734763
524,ALB,2018,Albania,36.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,2.075970449,-0.8161461170000001,-0.389918938,1.359400395,7.951288907,-0.221006685,-0.029796856,2.289492444,146.69734,2.028059631,94.01240602,31.53738009,0.38198548600000004,37.3,17.8285792,38.46660181,16.81175783,19.70312999,2.671210005,48.82963048
532,ALB,2019,Albania,35.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,2.427185955,2.983079272,2.43487616,0.38151379700000004,7.91159178,4.313638629,0.35221755299999996,2.2987500969999997,147.28814,1.41109079,97.29370967,31.51122294,0.369287921,36.6,15.21660226,39.42442501,14.26686951,23.3330891,9.983527569,56.15432092
540,AGO,2005,Angola,,Lower middle income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,13.2834953,-38.00773538,18.26092142,42.3755606,-3.526655479,60.70599438,0.593336776,9.10290502,101.73,22.95351385,163.56118069999997,65.52626777,0.39496332700000003,52.2,41.79260115,26.15231128,41.18765332,5.016516423000001,36.56488556,52.12799835
541,AGO,2006,Angola,,Lower middle income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,9.098913177,-86.09391648,31.57296124,17.11809761,-0.072001021,59.85092525,0.363843876,8.939357011,104.82,13.30521018,185.12091709999999,63.4678635,0.486925049,52.2,36.45489841,82.39305543,43.45458346,4.420816703,42.26249794,40.36954498
542,AGO,2007,Angola,22.0,Lower middle income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,16.31613281,4.256972835,31.94005312,4.30841553,-1.3687616280000001,49.42143639,1.3970139730000002,6.143060500000001,117.75,12.25149745,195.0112678,67.90578337,0.518230354,52.2,47.76457217,93.84089048,41.49897042,1.553115885,67.8509307,39.40856934
543,AGO,2008,Angola,19.0,Lower middle income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,5.928038418,15.80248497,30.14040006,19.3699206,1.896315051,104.5661242,2.9022862889999996,4.916468226,127.41,12.47582913,233.81126980000002,72.47502847,0.62033536,52.2,37.06525064,115.27484240000001,38.65885832,2.513873277,63.74575192,33.1567688
544,AGO,2009,Angola,19.0,Lower middle income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,11.90127916,31.74486245,23.14469217,-16.76108205,3.136662133,21.47568088,0.009605173,4.707335018,159.41,13.73028393,163.8912507,58.75730302,0.48470969,52.2,37.44774109,67.73652541,27.65786789,3.9665750330000002,51.02800654,28.49826241
545,AGO,2010,Angola,19.0,Lower middle income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,2.9387923330000003,-24.36374135,9.693265291,31.68919688,-3.8511104639999996,5.287800928,1.599567346,4.817420307,168.65,-60.49640059,196.02542409999998,61.54311272,0.544610038,52.2,48.55612717,73.98107438,36.98734332,3.461258382,54.40998653,34.637275700000004
546,AGO,2011,Angola,20.0,Lower middle income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,3.30863545,-8.35875683,16.47713392,31.77154278,-2.704874717,37.14695603,1.871945896,4.355785515,184.53,13.48246792,245.79075319999995,60.66994844,0.6877722740000001,52.3,38.51060228,79.61098069,37.88854989,2.892082162,52.88333647,32.38171387
547,AGO,2012,Angola,22.0,Lower middle income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,9.60951407,-13.50112648,13.00850166,7.255710282000001,-1.143768334,4.898187445,0.6922733190000001,4.847075177,152.82,10.27790492,249.79849879999998,55.94013141,0.6879967229999999,52.3,32.96017935,70.40762904,37.23299939,4.545920954,62.67658874,32.57001877
548,AGO,2013,Angola,23.0,Lower middle income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,6.416133026,7.1824578489999995,9.559571366,2.8397441710000004,-5.208122718,14.14659565,0.674103662,4.475640508,206.96,8.777814292999999,251.56569,50.74708439,0.6840088459999999,52.6,32.03529476,57.32997796,32.02988195,2.776190268,61.5026684,35.40423965
549,AGO,2014,Angola,19.0,Lower middle income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,6.682022817000001,16.70529403,0.734999145,3.560822791,2.510095009,16.18919725,0.6085917679999999,4.578771734,176.78,7.280387304,236.78231380000003,44.69503125,0.661231785,52.6,35.24616125,47.47888876,29.96672177,3.494532298,59.9283365,42.67658997
550,AGO,2015,Angola,15.0,Lower middle income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,2.797214097,5.529906632,9.83107582,-3.5183902610000004,8.630605233999999,11.77631343,-0.6754846090000001,4.024050761,181.06,-21.53169352,137.5875301,29.75459949,0.5678964470000001,49.0,34.2831586,42.27753068,25.02132654,5.063523497,54.37841969,49.96444702
551,AGO,2016,Angola,18.0,Lower middle income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,-2.824132248,13.55703997,-0.80819669,21.77429952,-0.17752253,13.46824221,0.26997092899999997,3.6505613319999997,192.85,32.37773407,109.74051270000001,28.12448456,0.493588817,48.0,31.20286193,41.40856099,24.42924754,5.9016800929999995,62.84791884,52.22011948
552,AGO,2017,Angola,19.0,Lower middle income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,-1.330849157,22.82199632,-0.40041327200000004,22.61450475,-6.0572092060000005,0.625449002,1.107077252,4.331911171000001,175.73764,31.69168614,136.836362,29.00410005,0.560233619,49.1,32.13955539,33.17393984,23.35194559,5.066968038,72.56901709,50.60655975
553,AGO,2018,Angola,19.0,Lower middle income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,-4.214747966,0.959794202,4.771096106,29.06588472,-6.369877272999999,20.42805983,0.005637874,4.5767188910000005,167.21958,20.19037379,176.4906107,40.83628989,0.463518615,49.1,28.20636603,28.24313519,25.1731937,3.334973005,73.09661912,44.13751589
554,AGO,2019,Angola,26.0,Lower middle income,Sub-Saharan Africa (SSA),Sub-Saharan Africa,4.0573579230000005,0.012057453999999999,9.92371919,35.90052398,-4.33080862,30.11411805,-2.4826073980000003,4.600463393,165.10168000000002,17.14531994,169.72913799999998,40.48761836,0.42910956200000006,49.1,32.04525479,34.72436606,27.6240055,10.04100295,51.48075103,43.31211748
555,ARM,2005,Armenia,,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,13.971906599999999,7.961987812,16.48234658,3.208756666,5.96010634,27.84120857,0.109970031,1.9454848319999998,108.46,0.638928002,102.54327420000001,27.31319795,0.301306292,36.6,29.095062300000002,33.98679975,24.30731709,19.50786766,5.0490073230000005,63.10401154
559,ARM,2006,Armenia,,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,13.76793055,-10.10820539,14.83554622,4.6180125080000005,7.307315032000001,32.87709665,0.354408925,2.6704517219999997,112.49,2.892356625,114.9063355,22.14598144,0.33658901799999996,36.6,35.29523896,50.1157713,28.54483369,21.74357797,4.799878422,61.30871582
563,ARM,2007,Armenia,30.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,14.55609481,-4.712030254,39.70630253,4.27787554,7.252331977000001,42.32875386,0.09658291,2.625642984,116.65,4.407360896,114.7251082,18.18935698,0.41570827,38.6,28.28657974,53.832754200000004,28.60069226,34.97657186,4.904737377,58.42900848
567,ARM,2008,Armenia,29.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,7.504746322999999,2.5650633590000003,38.20895631,5.989562361,8.092349209,2.378635022,0.261587673,3.336067533,121.69,8.949953354,118.53238940000001,14.26572957,0.483207668,38.6,16.74265415,38.94269014,27.90492035,36.84135492,3.606473597,71.69869995
571,ARM,2009,Armenia,27.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,-15.854730300000002,-12.41475657,12.29707061,2.497253078,8.788694552,15.14612389,0.604079534,3.358616444,125.96,3.4067668269999998,114.5623881,14.67090075,0.41398091299999995,38.6,23.68090319,40.60060695,14.04755692,35.64492742,6.7452939,73.95410156
575,ARM,2010,Armenia,26.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,2.983972107,8.641561816,24.90957676,7.768715481,5.716037845,11.82784961,0.29652503,1.9462596019999998,102.85,8.176361385,130.9747429,19.74841532,0.428755699,38.6,17.14790025,29.58258774,13.20076363,38.45531921,12.9110334,78.01216125
579,ARM,2011,Armenia,26.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,3.309704646,5.287529177,38.53843353,4.281549997,6.440668367000001,23.65541669,2.160117621,2.46824653,119.34,7.650008079,128.5632132,22.52318826,0.43932782200000003,38.8,20.43296031,26.07645479,11.09572312,35.01854555,11.13863899,79.00801086
583,ARM,2012,Armenia,34.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,7.751859726,1.512471278,32.62060797,5.345804418999999,4.676727878,19.46681076,0.22059763699999999,2.253627387,135.35,2.558020078,121.3369979,27.56672188,0.39317568700000005,38.8,16.83229516,23.55027396,12.81233364,37.43295732,11.64294725,79.76249695
587,ARM,2013,Armenia,36.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,5.308642752,-2.306807636,16.26689656,3.366824642,3.111931481,14.7811031,0.272112244,2.174218394,141.2,5.789667785,117.5816842,28.359126500000002,0.39022478299999996,35.9,24.1844887,25.93695047,14.45468022,42.91574765,15.57863905,84.60213470000001
591,ARM,2014,Armenia,37.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,1.985525055,5.57051379,28.074794300000004,2.30918243,3.5021142469999997,8.3360558,0.248107589,2.47218534,141.72,2.9813086889999996,116.2822368,28.5651387,0.39715805299999996,20.1,20.47432584,17.40886918,13.28125739,35.46783823,25.82242247,83.67940521
595,ARM,2015,Armenia,35.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,2.670554865,0.588794814,-3.517078553,1.213909904,1.744736992,10.83988508,0.272443896,2.563612629,150.35,3.731691193,118.8763696,29.72799648,0.36182653600000003,20.0,22.00480175,19.87783367,18.23422177,33.57637507,27.97967324,83.00221252
599,ARM,2016,Armenia,33.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,-1.375018071,7.609313165,9.36514799,0.268575076,3.164508221,17.48265024,0.668675124,2.9630669039999997,135.37,-1.4036075590000001,123.38805459999999,33.14800495,0.335552219,18.5,22.31790193,22.13938718,16.82181299,41.22784917,19.35491647,81.67637634
603,ARM,2017,Armenia,35.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,8.728946629,4.081734029,17.87167618,2.1506418999999997,2.1768467769999997,18.47097088,0.252066175,2.377080327,139.75848,0.969553269,132.6234113,37.32950312,0.323110429,18.5,19.71894691,22.4048517,16.909364899999996,46.07728599,17.212025,85.46837616
607,ARM,2018,Armenia,35.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,3.0485119060000003,1.4817948140000001,18.29476495,2.787709514,2.040033301,7.445920803,0.056289440999999996,1.693915557,136.6636,2.52023382,130.9945363,37.73125509,0.324279129,18.5,19.56426848,20.50428281,13.02185631,43.80170517,17.09665942,72.93082451
611,ARM,2019,Armenia,42.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,7.964135555,-3.05674242,21.47527377,1.462713928,1.861235768,11.18408795,-1.042619975,2.145311989,139.23754,1.4434466080000001,123.2881075,38.52233727,0.325095255,22.6,18.8138258,20.522203899999997,9.298371451,43.72092881,8.631554577000001,68.29775115
615,AZE,2005,Azerbaijan,,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,20.40822075,-2.901377884,26.44091923,14.72349655,33.79504714,22.10256605,30.32863584,2.248609551,103.31,9.679507318999999,136.7959435,62.94110601,0.23040004100000003,46.4,21.00030465,52.41367743,38.68582027,32.23636762,7.823651057999999,87.38294983
620,AZE,2006,Azerbaijan,,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,31.29282572,5.416372141,54.54341626,11.32918854,21.37906362,86.8126452,27.52439956,2.201583216,106.59,8.328924829,150.5824743,66.50414484,0.26345509899999997,42.4,31.12565689,89.35838251,44.28018555,22.04824723,6.555704181,84.35494995
625,AZE,2007,Azerbaijan,21.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,20.93168477,2.752147495,55.22894803,20.58248282,13.90071471,71.68319233,29.13360013,2.166378561,106.44,16.66125777,153.37137109999998,68.12891169,0.32209683699999997,40.9,17.36974892,109.43075490000001,44.61015803,37.33037744,19.39112724,79.82102966
630,AZE,2008,Azerbaijan,19.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,16.907491600000004,-15.05663856,36.718545299999995,27.97103631,8.160909658,44.03683181,9.267964954,2.176409557,112.2,20.837292899999998,190.31926030000002,65.77613785,0.422288375,40.9,11.83393665,143.81647880000003,49.43982321,5.463485785,11.19981801,78.07214355
635,AZE,2009,Azerbaijan,23.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,16.29836867,4.305345538,6.229064071,-18.898911,6.547600843,-0.294840726,6.215299991,2.73972983,125.86,1.463159974,127.2879785,51.63574568,0.34741611,40.9,7.775674029,117.7259916,39.80410131,12.37441148,12.65515947,77.6595993
640,AZE,2010,Azerbaijan,24.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,6.763211502000001,8.18568856,9.527727691,13.82722014,6.3380447239999995,24.303483399999998,5.712074822999999,2.280662034,124.69,5.73238743,155.7253805,54.30472154,0.39143482399999996,38.9,10.25097036,88.30173331,44.16514601,13.12471354,13.88035545,78.02481079
645,AZE,2011,Azerbaijan,24.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,-3.680928747,-16.74197984,13.35276632,24.60695003,6.800620682999999,32.06544663,5.386581272999999,2.33349114,131.88,7.852383767999999,191.85168180000002,56.42698053,0.485639844,40.0,12.05799441,133.53694850000002,46.26604963,16.48041722,10.48638766,78.22202301
650,AZE,2012,Azerbaijan,27.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,4.081328027,-0.022830189,13.27008818,2.8449825769999997,7.596083567999999,20.65805693,6.430238111,2.18032261,138.14,1.068103014,198.460674,52.97468019,0.469759789,40.0,10.05831729,104.1085868,43.80780241,12.88241049,23.596836399999997,76.18586731
655,AZE,2013,Azerbaijan,28.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,6.329263849,-16.22834426,22.79041528,0.41316405700000003,3.531931399,14.98948462,1.992716564,2.3547043530000002,141.25,2.4188698840000002,197.84292219999998,48.41583308,0.458187325,39.8,7.223021848999999,143.46405049999998,42.16728077,11.53835082,29.34479996,78.49332428
660,AZE,2014,Azerbaijan,29.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,5.38516948,-5.711775721,17.68879984,-1.330204423,5.888108916,11.80307306,2.6408288090000003,2.482742833,136.46,1.389726358,184.8700493,43.27355666,0.452382952,39.8,7.509675757,130.7020121,40.18196009,9.244722873999999,22.4862167,78.73886871
665,AZE,2015,Azerbaijan,29.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,6.535803181,-8.227988717999999,13.2929863,-8.809615526,7.626336332999999,-1.148701829,6.046945013999999,2.338211119,145.33,4.009438267,116.54855959999999,37.79477749,0.368199403,39.8,12.82224769,54.41786092,27.49888089,20.30227985,14.23442847,80.08988190000001
670,AZE,2016,Azerbaijan,30.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,2.9546690360000003,2.95313548,-8.049705742999999,14.628339000000002,11.88265332,-2.010855125,6.796328545,2.1363919890000003,148.08,12.44949552,99.90544513,46.42764939,0.270039148,39.8,37.93715649,44.509986100000006,22.08130669,17.67039588,12.41695162,82.23207092
675,AZE,2017,Azerbaijan,31.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,3.820599316,14.18974966,-20.60094449,16.22620457,7.016879437,9.008399502,6.275163527,2.041579976,147.24442,12.93998411,120.42546850000001,48.54786473,0.293673976,39.8,30.52960152,43.19022501,28.50077821,21.39396997,11.70451032,84.51470184
680,AZE,2018,Azerbaijan,25.0,Upper middle income,Europe and Eurasia (E&E),Europe & Central Asia,4.071223932,-5.2317506819999995,4.658670777,12.18443296,2.9779461119999997,5.65746855,3.737565425,2.201107449,144.17054,2.263516857,146.52281580000002,54.09229386,0.325875346,41.2,26.57782913,41.11716051,31.72467175,19.66860518,10.674290699999998,83.98557070000001
