res_polarity,res_subjectivity,res_polarity_label,res_subjectivity_label
1,0.3,positive,objective
0,0.114444444,neutral,objective
0.54,0.9,positive,subjective
0.022857143,0.443809524,positive,objective
0.1125,0.166666667,positive,objective
-0.1,0.475925926,negative,objective
-0.1890625,0.381770833,negative,objective
0.054206349,0.384285714,positive,objective
0,0.355555556,neutral,objective
0.058712121,0.265151515,positive,objective
0.114015152,0.255606061,positive,objective
0.14625,0.26,positive,objective
0.019480519,0.36969697,positive,objective
0.136363636,0.454545455,positive,objective
-0.264772727,0.635479798,negative,subjective
0.068181818,0.277272727,positive,objective
0.057142857,0.128571429,positive,objective
0.068181818,0.727272727,positive,subjective
0,0.066666667,neutral,objective
0.214285714,0.238095238,positive,objective
-0.046363636,0.354621212,negative,objective
0.125,0.825,positive,subjective
-0.0625,0.1875,negative,objective
0.162045455,0.436818182,positive,objective
-0.080519481,0.564935065,negative,subjective
-0.5,1,negative,subjective
