proj_res,res_senti_score,res_sub_score
offici municip train financ public administr revenu busi registr public relat outreach construct manag public work mainten anticorrupt infrastructur servic deliveri project implement includ construct sidewalk rehabilit road drainag ditch build park lot collect solid wast line ministri budget prepar autom standard oper procedur independ director local govern implement focu improv servic deliveri busi licens servic implement servic privat sector monthli citizen forum municip newslett infrastructur project open close ceremoni media interview public awar activ introduc femal engin train qualiti assur municip offici train gender sensit mainstream look critic gender social relat stereotyp integr gender analysi gender respons leadership govern,0.003703704,0.103703704
municip begin busi registr licens process eventu gener addit revenu municip municip form servic deliveri advisori group serv interfac citizen municip offici,0,0
tafa facilit ratif afghanistan pakistan transit trade agreement januari agreement oper june agreement allow afghan truck drive directli huge market india china seaport karachi gwadar port qasem pakistan addit project facilit ratif south asian free trade area agreement support implement agreement guarante tariff india pakistan countri afghan export sensit list project streamlin custom procedur kabul hairatan border uzbekistan result elimin unnecessari import export step yield save transact reduc opportun corrupt tafa support trade polici liber consum good afford rais live standard afghan famili make product need access easier purchas increas custom revenu allow giroa offer citizen addit servic improv custom procedur protect consum danger inferior product final econom growth gener world trade organ safta aptta creat broad base polit support afghanistan care manag entri global marketplac trade custom reform facilit tafa build necessari momentum govern reach level transpar effici requir join,0.036260331,0.555681818
ground principl durabl stabil result local empower initi leadership design implement cluster small grant process orient commun drive approach program project process import project output contribut program strateg goal stabil util soft commun leadership shura district governor outreach visit hard small scale infrastructur activ strengthen linkag commun vulner insurg exploit posit giroa influenc commun resili strengthen improv abil resolv issu promot viabl econom activ commun effect commun govern entiti,-0.138333333,0.338333333
team complet major canal road farmer train women enterpris project farah provinc collabor farah governor farah government offici farah shura field program offic farah base provinci reconstruct team know afghan partner carri women poultri rais project provinc widow disadvantag women farah citi region assembl wire gabion repair construct project purchas element strateg allianc provinci governor support seri farmer altern agricultur confer district center farah develop televis radio social messag campaign spearhead governor final valu chain busi develop work leverag resourc talent usaid fund afghanistan small medium enterpris develop program asm agricultur sector advanc program asap altern develop program south addit directli collabor jointli fund activ habitat human,-0.150595238,0.452380952
tarp take lead role help design includ map scope role train staff effect establish manag anti corrupt program includ handl complaint maintain complaint databas coordin govern agenc tarp advis staff implement anti corrupt plan assist develop complaint manag track analyz complaint data support project receiv complaint investig resolv earn reput counter deter corrupt capac build program local govern kecamatan strengthen abil provid better servic constitu exampl equip data collect system local govern better equip issu birth certif govern document tarp support kecamatan learn plan longer term need infrastructur develop help econom develop expand abil includ broader spectrum citizen determin goal commun econom growth area tarp provid technic advic ministri financ depart includ director gener taxat work ministri leadership director staff improv govern econom polici increas revenu gener includ strengthen invest servic harmon central region regul improv custom excis taxat servic creat job support small medium enterpris tarp assist establish depart indonesia devot crimin investig director intellig investig,-0.160714286,0.403571429
ongo activ improv access product infrastructur develop livestock horticultur cluster acceler busi develop improv capac outreach improv licit incom opportun thousand rural famili integr region economi,0,0
amdep function context administr delay fund uncertainti secur threat environ differ media project unpredict economi station result amdep fund salam watandar radio network rural radio station run overal amdep equip function train staff effect technic assist station target support administr system effect initi subsidi station amdep legal train lawyer legal advocaci journalist produc number outcom cadr media savvi lawyer activ associ school project work afghan ministri help improv implement law polici promot evolut independ construct commerci media industri effort promot joint lobbi advocaci media profession associ margin success number confer workshop hold product exchang inform journalist media industri leader amdep support develop radio content women listen deal women issu countri femal journalist train employ media outlet,0.175,0.1
date eggi facilit implement driver licens practic exam fee result increas revenu collect afghani annual kabul traffic depart support ministri financ financ debt relat decis make report support budgetari unit prepar deliv brief program budget complet submit annual budget budget committe support ministri roll comprehens provinci budget train program provinc develop medium offic herat mazar jalalabad kandahar support enabl provinc surpass revenu collect target ahead schedul remain cours meet target result effort return file complianc improv final intern graduat women govern program find time job,0,0.666666667
improv subnat govern contribut secur district strengthen district level administr coordin line ministri activ subnat level establish commun coordin level govern district provinc center result district tashkeel absente significantli reduc staff report work harder abl manag budget district administr feel time actual govern district greater volum visitor district center mean activ,-0.01875,0.247916667
lcep graduat grade equival newli liter provinc encourag literaci graduat establish self help save group shg commun bank provid skill train creat nascent micro entrepreneur micro lend result lcep impact target commun improv famili livelihood stronger commun social fabric women commun leader entrepreneur literaci train effect appli context lcep support beneficiari sensit emerg literaci need ensur commun literaci train asset lcep help ignit sensit student need,0.033333333,0.066666667
project provid institut capac develop advocaci support provid financi technic assist support women specif activ cso major object cso receiv largest grant improv perform intern govern improv financi manag engag women project signific increas particip women project,0.0625,0.5
june number commun council establish support asop target district provinc reach total member commun council receiv train manag govern facilit asop train staff program issu stipend approxim council member,0,0.75
islam financ toolbox develop facilit credit farmer cultur accept lend mechan agricultur develop fund nonbank stand financi institut own govern islam republ afghanistan govern board director develop loan worth million process financi nonfinanci intermediari directli benefit small commerci farmer provinc indirect beneficiari exceed rural household million lend women own enterpris zahra flagship program women,0.25,0.5
project establish financi disput resolut commiss attempt implement independ administr oversight regulatori author afghan govern repres signific potenti enhanc transpar anti corrupt program start develop tool provid citizen mechan manag corrupt complaint form submiss anti corrupt hotlin scope program assist draft memorandum understand creation ethic unit minist financ,-0.45,0.8
septemb memorandum understand project partner citi nation territori plan agenc sign white paper fiscal develop confer fiscal albania conduct,0,0
transpar account technic assist deliv gener capac develop govern focu sector specif prioriti ideal continu expand link refocu develop initi financi manag human resourc program project manag monitor evalu public outreach inform area sector specif assist nation govern,0.3,0.388888889
polit parti receiv train inform concern organiz develop abil compet elect best particip afghanistan govern process assist come form train seminar organiz assist consult access resourc assess recommend improv includ resum improv previou effort specif organiz develop elector competit govern,0.9,0.6
municip govern strateg framework municip islam republ afghanistan report provid blueprint develop nation level includ import requir activ improv govern municip level,0,0
aerca serv primari facilit institut afghan elector reform initi resourc afghan stakehold engag foster debat advoc elector reform afghan stakehold establish facilit network pursu comprehens long term transpar elector reform elector support organ afghanistan esoa aerca conduct fact find mission india mexico south africa zealand order provid afghan deleg insight elector system esoa work domest organ includ free fair elect foundat afghanistan fefa movement afghan sister train human right associ draft reform agenda address elector issu aerca research program assist civil societi group conduct research elector reform afghanistan aerca conduct field research afghanistan provid cso govern offici public opinion data elector reform issu final aerca research program build capac civil societi organ conduct qualit quantit research train partnership nation center polici research ncpr kabul univers,0.226190476,0.533597884
technic financi assist provid larg scale cascad train session poll count includ trainer district field coordin poll worker step sponsor million women campaign organ afghan women network prepar declar commit encourag candid voter support particip women elect event attend women follow success launch kabul provinci educ campaign implement provinc,0.566666667,0.566666667
year project seri institut review region need assess conduct consensu build activ govern strengthen advocaci activ nation region level support agreement local counterpart hospit sector select focu program need hardest reach poor program seek improv hospit holist perform integr oper unit region hospit identifi test sit,-0.2,0.3
project assist target municip strengthen involv local civil societi group special group busi local govern process accomplish includ civic privat sector local econom growth committe establish participatori budget mechan captur citizen input creat local govern outreach tool newslett websit govern transpar increas open council meet open process purchas leas dispos municip asset open budget process,0.044642857,0.258928571
mcca expand electron servic establish previou project administr creat govern system support project counterpart includ busi licens applic urban develop construct permit process court case mcca system base public access design goal maxim transpar account effici addit project engag albanian cso monitor reform extens capac build provid project cso abl provid effect monitor abil provid public servic futur strengthen,-0.2,0.283333333
rolp support computer trial record pilot court comput printer monitor necessari equip audio record session hear pilot durr vlora district court crime court support computer trial record project provid financi softwar pilot court organ custom servic train court staff addit rolp coordin albanian train institut public administr tipa train govern employe conflict asset declar fraud intern control ethic anti corrupt procur administr investig project join world bank european commiss project corrupt albania paca polish nation audit offic train high state control staff audit final perform measur survey assess effect pilot court meet court user expect servic conduct project overse annual survey corrupt albania percept experi corrupt percept experi improv expect court oversight institut polit econom environ,-0.23,0.700833333
star play instrument role develop law regul relat trade liber includ legisl relat chemic product food safeti plant protect oper state bank vietnam credit institut labor radio frequenc consum protect competit retail distribut environment protect citi plan tax arbitr judgment enforc access inform public invest equit meet requir transpar make process star assist govern draft implement promulg legal norm document adopt stop rent seek behavior offici take advantag uninform busi citizen assist implement legisl requir citizen particip legal draft solicit public comment star support workshop train thousand govern offici busi sector repres sponsor studi tour public offici publish approxim copi refer materi support develop websit government agenc launch base govern program pursu object implement requir modern vietnam judici star support capac build justic institut expos counterpart previous unknown concept includ plea bargain electron caseload manag system face face court provid mediat servic tele mediat remot area adversari trial project develop implement innov tool measur perform ministri major influenc privat busi term develop law enforc exist law ministeri transpar index know legal develop enforc assess ldea collabor usaid sponsor project star develop tool provinci competit index motiv factor improv perform provinci govern,-0.018560606,0.306060606
project team base approach build integr govern albania connect govern agenc busi bank citizen permit public access inform restrict access confidenti requir implement nation registr center tirana network servic window municip registr busi requir applic process hour cost dollar nation registr center servic window albania process nearli applic regist busi year oper public access busi registr data electron websit project team build test econom procur central govern agenc municip post tender notic public websit firm download bid document free charg submit bid procur meet european union standard infrastructur technic assist provid nation agenc inform societi nai oper control govern servic center hand nai transfer agreement nai support registr procur develop addit servic benefit busi public,-0.069230769,0.232051282
project support develop implement enforc asset declar conflict govern offici strengthen institut capac high inspector declar audit asset enhanc capabl justic sector institut particularli high council justic ministri justic manag oper conduct judici inspect mean prevent detect corrupt lay foundat develop modern associ nation chamber advoc includ provis exam ethic guidelin includ sanction collabor govern agenc implement public sector reform civil societi organiz capac improv advoc monitor govern reform engag public litig serv ombudsman function bring polici chang project help pass law adopt regul polici relat conflict administr procedur freedom inform intellectu properti copyright media press result orient grant program manag fund provid guidanc divers array transpar account program,-0.041785714,0.457261905
project reinforc capac municip administr commun base organ cbo jointli develop implement monitor plan program seek improv social econom condit target municip project strengthen capac cbo determin develop build allianc privat sector public commun institut organ scale provis afford sustain basic servic implement micro project strengthen vulner assess respond shock develop poor social inclus polici plan servic,-0.188888889,0.320833333
decemb nation network cooper prosecutor gener offic organ retreat dedic intern anti corrupt event includ differ anticorrupt train addit network establish citizen year award provid citizen recogn import protect right struggl restor violat right,0.023809524,0.69047619
administr legal framework adequ chang need individu law number continu problem qualiti transpar administr decis make institut respons administr legal decis make municip canton ministeri decis maker lack adequ expertis train substant procedur matter particularli differ materi law differ procedur come conflict assess recommend institut reform administr legal includ strengthen administr decis make capac certain execut agenc includ municip carri pend legal residenti construct activ improv judici compet issu administr legal decis higher qualiti construct legal issu major focal point technic assist provid grant enabl advocaci activ impact litig legal civic group rais public awar citizen administr right especi construct legal assist public administr reform effort improv civil servic specif capac build administr decis make assist upgrad aspect administr legal framework relat legal refer materi directli assist capac build measur,0.17578125,0.265029762
project train member youth commun action center civil societi civic engag volunteer role youth agent chang commun legisl agenda advocaci day initi enabl civil societi particip recommend parliamentari agenda nation assembl stand committe cso mobil provid input elector legisl reform process result hundr recommend parliamentari committe nationwid awar rais event,0,0.1
,0,0
project maac establish advocaci assist center aac oper armenian ngo alleg victim corrupt appli aac assist aac pursu case case resolv correct action case refer prosecut case court addit maac strengthen number govern institut includ human right defend anti corrupt strategi monitor commiss acsmc nation assembl result inform train technic assist linkag intern resourc public institut enabl better prevent corrupt area respons project provid anti corrupt technic assist train ngo build knowledg specif corrupt issu coordin grante network maac outreach tool inform public effect way fight corrupt maac conduct annual corrupt survey household corrupt survey enterpris,-0.205580357,0.594940476
alac provid legal advic alleg victim corrupt repres case govern base analysi statist corrupt complaint report alac project conduct public educ event includ rural area project organ regular roundtabl facilit dialogu govern institut ngo way increas transpar account public servic deliveri government function includ registr real estat notari public servic social,-0.133974359,0.314891519
help member parliament engag public legisl process local social servic initi introduc public hear procedur citizen government organ foster commun member citizen improv public servic publish distribut milli majli manual develop program assist parliamentari staff conduct construct parliamentari committe hear public engag work parliamentari journalist associ complet focu group government organ parliamentari journalist signific accomplish includ follow orient program member conduct januari improv websit featur complet legisl draft legisl creat public parliamentari hear issu relat disabl social servic hold creation member parliament assist offic facilit mpa train databas mpa track constitu request establish,0.008333333,0.058333333
project facilit work parti meet year acceler countri access assist capac build prepar compliant law custom intellectu properti foreign fund foreign trade polici food safeti tariff barrier trade propos reform bankruptci adopt train state inspector educ industri repres food safeti best practic food handl inspect regim support azerbaijan govern goal expand export agricultur product project work legisl draft elimin import export restrict simplifi import export approv process azerbaijan reduc opportun corrupt help creat revenu forecast model design allow ministri accur forecast budget revenu council minist indic forth mandatori model govern final project spearhead cost benefit analysi presidenti decre state project subject financi econom analysi prior approv,0.011904762,0.411904762
project result includ hold event baku region citi rais awar govern anti corrupt strategi action plan event includ present repres role civil societi implement nation strategi fight corrupt gener event hold project includ parliament commiss combat corrupt integr legisl process parliament depart justic particip relev author draft anti money launder legisl implement numer train conduct govern offici anti launder legisl terror financ micro studi conduct report health educ system complet submit ministri,-0.28,0.62
avail,0,0
project establish sustain independ center investig journal provid train access inform journalist countri creat mechan regular commun collabor comptrol auditor gener princip account offic govern ministri project support establish self suffici anti corrupt hotlin women entrepreneur provid guidanc avoid bribe addit fee assist women secur busi licens document access credit final establish budget analysi monitor unit bangladesh parliament support civil societi social audit govern program provid food develop assist ultra poor audit reveal system corrupt mismanag civil societi partner result success advoc programmat improv local nation level,-0.12962963,0.427065527
project establish region women youth center seven region bangladesh offic locat citi baris bogra chittagong khulna mymensingh rangpur sylhet offic awar campaign conduct includ town hall meet women dialogu inform women youth way particip polit process micro activ fund mechan current implement help encourag innov youth women focu project design grassroot group lastli young leader fellowship program manag young polit parti activist provid train give select fellow opportun engag nation region parti leader import polit polici issu fellowship program focu differ area polit parti oper includ connect young peopl outreach women media relat technolog improv parti oper,0.04,0.34
meet march councilor ward citizen elect person femal male repres ward person citizen govern gener bodi sirajganj later citizen gather select execut committe member member receiv special train sdlg differ channel avail citizen particip local govern decis make attend sdlg train session local elect repres topic financi manag revenu gener participatori plan budget servic deliveri monitor,0.279591837,0.353061224
project civic educ compon train provid democrat principl skill thousand bolivian local ngo receiv assist improv administr technic capac advanc adult literaci project conduct basic educ literaci class legisl studi databas exist legisl affect bolivia depart serv start point creation complet databas current law access bolivian project success increas bolivian particip democrat process countri constitut improv nation congress abil function transpar effect bolster transpar manag public infrastructur project project support develop inform softwar tailor particip bolivian depart uniqu project cycl intern procedur newli adopt system contract personnel purchas good servic,0.157142857,0.213095238
project close prematur bolivian govern request year activ project provid technic assist numer municip govern special local entiti feder municip associ civil societi organ infrastructur activ undertak,0.178571429,0.285714286
year account sign memorandum understand media outlet ensur strong outreach account initi anticip result account includ creation unifi anticorrupt network increas dialogu govern counterpart reform improv legisl deem import network increas anticorrupt educ citizen pressur reform report corrupt media,-0.033333333,0.866666667
open govern initi hold confer issu role suprem audit institut fight corrupt mainten regist asset public offici fund audit polit parti auditor train fraud detect audit polit parti project select pilot municip improv intern control procedur draft intern control manual municip public procur achiev includ establish work committe ministri municip particular ministri energi research conduct harmon propos public procur direct public regist databas public tender public procur director enhanc greater function achiev pilot public procur program establish ministri energi second pilot ministri foreign affair citizen particip anti corrupt activ increas work ngo media civil societi activist awar determin corrupt rais corrupt assess report complet establish local ombudsman support anti corrupt educ manual establish media monitor journalist award program establish small grant ngo investig corrupt practic award final open govern initi provid train investig report small grante journalist media work area corrupt,-0.134333333,0.465
jsdp support high judici prosecutori council hjpc increas effici court prosecutor offic develop transpar polit process select appoint judg prosecutor effort includ develop object write test candid establish timefram reduc case backlog improv manag practic prosecutor offic model prosecutor initi program project help justic sector implement justic sector reform strategi jsdp support civil societi organ establish justic network serv resourc center civil societi profession associ interest advoc independ transpar judiciari increas access justic margin group,0.22,0.48
assist municip public input municip action strateg plan process improv servic deliveri municip manag citizen municip action plan team member directli involv public consult lead adopt year plan citizen servic center establish affect live million peopl countri daili interact local govern nation entiti law bylaw draft strengthen posit role local self govern capit improv project complet beneficiari municip contribut million financ combin effect work effici municip administr servic citizen increas satisfact provis servic,0.029545455,0.116666667
jsdp help high judici prosecutori council hjpc improv profession qualiti judiciari establish independ polit influenc support jsdp hjpc standard judici appoint perform disciplin judg cod ethic judg prosecutor jsdp assist improv hjpc strateg plan senior manag train public relat institut capac support compet court administr budget jsdp help hjpc adopt publish book rule court mandat nationwid implement number reform introduc jsdp civil crimin benchbook manual judg draft publish distribut judg prosecutor jsdp innov model court initi evolv european standard program help court implement rigor court improv plan jsdp partner court introduc record manag system computer case manag system remodel courthous access public improv public relat custom servic ministri justic develop state ministri capabl carri mandat jsdp train public financ human resourc project prepar public relat help effect ministri improv work justic sector strateg plan polici make budget financ donor coordin european integr jsdp help develop nation justic sector reform strategi assist implement main section enhanc independ effici judiciari access justic coordin justic sector jsdp provid softwar upgrad manag intern legal assist case help develop central databas crimin offenc better track offend jsdp help publish legisl draft manual ministri develop procedur public consult draft legisl jsdp help harmon legisl intern convent anti corrupt organ crime,0.030980392,0.195490196
assist develop modernli equip citizen servic center benefit million citizen partner implement activ relat improv busi environ municip exampl center urban permit capit improv plan leadership roundtabl improv financi manag strateg plan partner municip reengin busi registr procedur transpar inform flow public particip opportun expand greatli influenc commun develop grant program integr account budget substanti improv capac municip financ depart depart charg collect revenu,-0.05,0.066666667
program strengthen justic relat institut implement justic reform strengthen judici branch implement judici career increas access justic women youth ethnic group nationwid increas civil societi commun involv specif public issu,0,0.066666667
project work collabor inclus process crucial polici area anticorrupt good govern land reform water manag women inherit human right elect train elect govern offici govern spokesperson respect role oblig account public give improv access servic inform govern initi reform intern ministri good govern privat project improv capac ministri staff inform public mission increas transpar enhanc line commun creat effect govern project promot strategi prevent monitor creat sanction instanc corrupt work govern implement civil societi advoc monitor media liaison public civil societi media organ engag implement campaign anticorrupt rais awar govern account oblig citizen right project train civil societi organ concept techniqu particip advocaci help civil societi work collabor govern achiev reform vein project support creation network monitor public resourc,0.236263736,0.495238095
good govern program train peopl commun includ administr member civil societi member media tradit leader commun council particip interprovinci competit select committe choos project provinc receiv technic financi support partnership agreement sign seven nation govern entiti design build capac number commun micro project implement,0.7,0.6
project assist develop polici nation minimum standard protect human traffic victim launch support nation committe address traffic ministri interior deputi prime minist support project victim traffic provid assist shelter counsel reintegr commun legal vocat train,0.01,0.08
novemb train journalist civil societi corrupt conduct public event highlight problem corrupt young peopl monitor media coverag corrupt publish monthli corrupt monitor newslett develop saatsaam clean hand websit resourc center anti corrupt inform materi dissemin saatsaam educ public materi develop train materi support anti corrupt studi survey develop network privat public fight corrupt differ sector addit engag privat sector establish clean busi initi improv busi enabl environ transpar fair busi practic,-0.137777778,0.666666667
jrmp project train public defend privat defens attorney plu student trial skill procedur requir accusatori help reorgan nation public defend ombudsman help establish special support offic oea staff experi special defend skill personnel project build equip provid curriculum support school public defend region train center project help accusatori reach area difficult access affect conflict establish virtual courtroom connect local polic prosecutor public defend client judg larg urban center develop consolid altern disput resolut concili center thirteen municip train juec concili commun justic oper techniqu jrmp organ civil societi advocaci coalit help advanc sustain reform help creat train citizen oversight group monitor justic relat issu manag,-0.007142857,0.225793651
program strengthen profession capac legal ngo project support legal ngo improv intern structur overal manag capabl program assist train program allow legal ngo build technic capac lawyer report better prepar equip handl trial practic cambodian court legal ngo provid legal consult indig peopl legal represent provid case success repres famili high profil pich land dispossess case result total compens receiv famili excess million project increas qualiti undergradu legal educ help lead domest school develop interact cours lesson plan develop legal ethic class cambodian school introduc advocaci skill train institut huge popular annual mock trial client counsel competit spearhead develop continu legal educ program roughli sit judg prosecutor cambodia includ ethic class develop cambodian judg,0.250666667,0.359333333
april cambodia public firm major innov cambodian legal profess open door firm outgrowth public legal advocaci project pilap bring dedic group cambodian attorney file high profil public litig case primarili involv land issu pilap work creat gener awar land disput cambodia place prior pilap util network human right ngo advantag turn creat inform network spread legal ngo commun grassroot activist intern donor sector pilap establish fair principl land case wider discuss land right increas citizen expect govern account transpar,0.105870536,0.325714286
april praj provid support human right advocaci support legal court monitor improv inform manag system civil societi justic sector institut develop sithi site support expand network government organ ngo establish advocaci group expand invest practic legal train effort expand provis legal servic contribut project goal praj engag judici sector institut process begin praj gather momentum praj engag consider offer assist sector build modern data base judici manag inform larg increment opportunist praj facilit dialogu import legisl initi repres commun includ advocaci group notabl achiev praj ministri justic traffic databas praj facilit begin collabor ministri women affair train establish data collect procedur court begin regularli share inform embassi,0.040816327,0.362244898
march million peopl access health care health financ scheme health equiti fund expand oper district referr hospit health center cambodia health equiti fund improv overal qualiti public servic cambodian like seek care public sector area present client elig health equiti fund support project support launch updat nation health inform health center referr hospit nation hospit help shift paper base base show signific improv data improv plan manag final ministri health capac detect elimin poor qualiti medicin sell market improv surveil activ provinc addit awar rais medicin qualiti issu regul health care profession public,-0.22,0.4
avail,0,0
term anticorrupt relat result cimiento project rais effici effect local govern confirm govern colombia municip perform index rank enhanc local govern perform translat better public servic better local govern respons citizen need reflect improv public resourc project work result municip increas sourc incom collect properti tax tax industri commerc addit project assist updat municip revenu cod set implement revenu collect procedur,0.025,0.254166667
notabl accomplish program includ provis legal clinic univers abl reach peopl live rural area provid inform colombia justic servic public defend concili govern offici receiv train report train help relev perform requir public defend offic forens laboratori modern equip,0.089393939,0.188888889
program provid train help colombian citizen conflict ride area learn conduct social audit project fund royalti ensur implement design maximum social impact whilst prevent corrupt incompli commun contractor program train public offici region local govern import transpar account good govern gener better govern sphere influenc project enhanc govern transpar train journalist report royalti,0.10952381,0.328571429
brdg provid direct assist independ elector commiss enabl print ballot document necessari implement indirect elect senat governor vice governor program contribut logist assist facilit nation workshop fundament option rel draft law concern organ scope function constitut court court appeal state suprem judici council direct assist provid conad support reintegr activ combat combat reintegr train high intens labor activ reintegr kit beni lubero territori north kivu,0.29,0.56
anticorrupt area project provid servic help ensur effect nation govern integr anticorrupt plan identifi mileston oper budget develop implement civil societi particip project work strengthen investig audit prosecutori capac public sector corrupt financi fraud case particularli capac anticorrupt unit attorney gener special audit unit offic control gener republ strengthen financi manag control institut ministri account financ control gener court account better control public fund result creat free live anticorrupt civil societi coalit coalit project provid technic assist rule compon strengthen attorney gener offic public ministri suprem court trial court execut branch public defens lawyer goal rais calib offici speed administr legal process provid train judg administr produc profession qualifi corp justic sector profession support civil societi organ assess advoc passag law monitor implement justic sector reform increas access justic poor disenfranchis improv legal framework rule justic sector reform includ assist passag need law regul crimin procedur penal cod civil servic career law public ministri career cod relat nation polic crimin investig nation public defens ombudsman public administr altern disput resolut compon design strengthen civil societi organ media increas public awar demand justic reform account program serv strengthen civil advocaci reform promot coalit justic reform anticorrupt activ,0.055844156,0.306547619
projustic work provid better transpar congoles judiciari allow conseil superieur magistratur author decis rule congoles magistraci program support revit disciplinari chamber target provinc increas judici transpar confid congoles citizen court project result improv file increas capac result train logist support receiv posit outcom program,0.5,0.5
project work offic inspector gener formul strateg plan train inspector maxim perform promot account project provid essenti train member parliament enabl better perform oversight function improv check balanc critic project collabor nation djiboutian broadcast radiodiffus televis djibouti dissemin seri public servic announc good govern anti corrupt conclus project target govern institut enhanc intern institut capac anticorrupt activ citizen djibouti awar import govern account relev daili live livelihood,0.167272727,0.533333333
program assist secretari economi develop inventori activ project carri promot transpar anticorrupt serv countri evalu process millennium challeng corpor inclus transpar anticorrupt issu recent presidenti elect certainti inclus elect futur direct contact cso countri awar effect corrupt convinc cso need coalit program help integr cso countri civil societi network capabl make demand account public servant program develop base journalist train investig corrupt report access public inform carri nationwid cost corrupt studi,-0.06,0.658333333
avail,0,0
project provid technic manag capabl select justic sector institut establish mechan intern extern supervis justic sector reform provid institut procedur support justic sector independ imparti build capac justic sector coordin manag reform effort improv oper,0,0
project improv transpar competit govern procur assist nation offic procur comptrol gener target line ministri follow promot transpar bid award procedur project increas govern horizont account control corrupt strengthen check balanc institut goal achiev uniform approach strengthen inter institut commun cooper standard guidelin perform mean ultim reduc incid corrupt,-0.328125,0.671875
avail,0,0
project influenc passag anticorrupt measur advocaci effort case help draft legisl comment draft legisl help monitor progress anticorrupt measur progress corrupt case public ministri court mass media campaign fall help rais citizen awar corrupt abil civil societi organ news media monitor govern conduct impair incomplet implement legisl provid freedom access govern inform,-0.333333333,0.688888889
