proj_desc,desc_senti_score,desc_sub_score
region afghan municip program urban popul region command east ramp east program support provinci capit primari custom municip offici mayor revenu offic engin citizen benefit municip servic ramp east aim help municip implement project local offici improv capac deliv servic build satisfact trust support citizen program put municip offici demonstr charg lead participatori plan process overse implement,0,0
region afghan municip program urban popul ramp north project address challeng help govern islam republ afghanistan giroa establish capabl legitim govern municip level provinci capit primari custom municip offici mayor revenu offic engin citizen benefit municip servic small scale sustain servic deliveri improv project municip implement aim improv capac deliv servic increas citizen satisfact trust support municip govern,-0.125,0.2
trade access facilit afghanistan tafa goal improv trade environ afghanistan specif focu cross border trade transit order foster increas invest export market base employ opportun accomplish tafa support govern islam republ afghanistan giroa privat sector main area trade polici liber custom reform trade facilit public outreach trade relat issu,-0.158333333,0.35
juli offic transit initi launch phase current program afghanistan support stabil reconstruct initi object afghanistan stabil initi address instabl foster strengthen condit build link govern islam republ afghanistan giroa local afghan commun close coordin intern secur assist forc isaf program increasingli support commun violenc prone area stabil project need march begin second phase current engag afghanistan commun cohes initi seek improv stabil area vulner insurg exploit order creat enabl environ sustain peac tradit develop program strengthen tie local actor customari govern structur giroa empow commun base resili mitig sourc instabl,-0.133333333,0.3
altern develop program south west reduc econom depend farah nimroz uruzgan helmand provinc opium product process trade help commun identifi seiz meaning opportun reduc vulner improv incom creat last job licit economi reinforc econom institut infrastructur opportun depend increas poppi cultiv farah provinc rel provinc unit nation offic drug crime unodc record year project activ focu program hop transform result farmer rural women poppi grow provinc district afghanistan benefit increas sustain incom licit crop villag base product afghan engag suppli input rural commun purchas ship process market product profit improv techniqu technolog infrastructur place help program,-0.2,0.266666667
project anticorrupt compon focu ensur billion dollar send help indonesia recov effect tsunami fulli account ensur reconstruct project proceed futur project anticorrupt compon focu ensur billion dollar send help indonesia recov effect tsunami fulli account ensur reconstruct project succeed futur project provid support satuan anti korupsi anti corrupt unit creat badan rehabilitasi rekonstruksi agenc rehabilit reconstruct,-0.5,1
altern develop program southern region counter narcot strategi helmand kandahar uruzgan provinc plan rehabilit kilomet gravel compact farm market road build kilomet cobbleston road complet kilomet irrig canal improv hectar farmland rebuild lashkar electr station improv electr access famili busi establish veterinari field unit commerci fee distribut anim fee farmer improv veget seed farmer provid technic train extens worker para vet farmer associ,0,0
afghanistan media develop empower project amdep continu strateg focu improv news develop relat radio inform underserv group rural famili women young peopl amdep support comprehens valu chain approach strengthen media sector deal train journalist establish oper network rural radio station introduc media enabl amateur voic commun social econom develop issu encourag advocaci protect journalist freedom help citizen understand valu import media inform news train media lawyer support media law polici support develop dynam independ media industri,-0.023333333,0.143333333
econom growth govern initi eggi afghanistan support public fiscal financi manag area econom fiscal polici support revenu polici program budget reform provinci budget reform provinci administr revenu reconcili databas women govern,0,0.066666667
district develop program repres umbrella approach ensur reach afghan central govern extend district countri partnership independ director local govern ministri financ provid support budget plan execut district level improv deliveri servic fund stream provid budget partial salari support hazard oper mainten fund district offici offic sector administr health justic agricultur educ afghan budgetari fund stream align tradit develop afghan govern program provid servic priorit district offici commun repres fund stream financ small scale district govern infrastructur relat servic deliveri,-0.0875,0.2375
learn commun empower program phase lcep integr commun level literaci product skill save lend initi main goal program social econom empower,0.1,0.2
project launch provid institut capac develop advocaci support women focu afghan civil societi organ cso grant order improv gender equal specif help women secur opportun advoc project goal improv statu qualiti life afghan women girl strengthen capac women focu cso contribut social econom polit develop women flexibl grant address emerg local afghan women group need empow expand activ,0.011111111,0.105555556
afghanistan social outreach program asop design work close provinci district governor strengthen commun collabor govern local commun foundat perman democrat author capac subnat level asop aim facilit creation district level council mobil commun support attempt reduc conflict promot develop encourag effici transpar use district resourc district level council identifi concern need commun establish channel commun coordin govern agenc,0.016666667,0.033333333
agricultur credit enhanc program focu enabl commerci farmer hectar access financi servic concomit posit effect term technolog adopt increas product profit object program facilit rapid disburs loan agricultur valu chain build capac financi intermediari deliv agricultur credit farmer contribut develop high valu agricultur sector build confid govern legitimaci contribut social stabil,0.096666667,0.303333333
project aim structur implement legisl fiscal regulatori institut framework reform polici formul foster transpar invest friendli economi technic assist design assist afghanistan govern creat enabl polici regulatori environ trade invest regim strengthen privat sector build institut capac afghan govern,0,0
plan local govern project plgp project provid support govern albania local govern implement legisl polici reform aim improv effici transpar account local govern oper improv local govern manag oversight select public util provid servic accord standard strengthen capabl local govern plan manag urban region growth,0,0.008333333
assess corrupt afghanistan commiss provid strategi program option recommend need opportun strengthen capac polit govern afghanistan order fulfil nation anti corrupt strategi report assess issu corrupt countri legal institut framework combat corrupt donor activ corrupt includ monitor mechan report conclud recommend object anti corrupt assist strategi guid action focu agenda assist govern civil societi help counter corrupt afghanistan,-0.355555556,0.811111111
assess polit parti program team polit parti associ stakehold implement kabul team travel herat mazar sharif meet polit parti stakehold away kabul add scope research compar inform diversifi expect away rel advanc situat capit larg assess examin program afghanistan conduct evalu success emphasi place futur direct,0.2,0.2
municip govern strateg framework municip islam republ afghanistan report focu municip level govern recogn municip broader nation govern need address need develop nation level recogn major polici document iroa includ afghanistan compact afghanistan nation develop strategi support effort govern creat independ director local govern idlg august undertak develop polici legal framework implement capac build program improv public administr capac level nation govern,0.065625,0.191666667
afghanistan elector reform civic advocaci project aerca seek facilit afghan elector reform process strengthen afghan democraci foster innov govern elector reform,0,0
elector institut afghanistan support technic financi assist larg scale train session poll count conduct larg scale civic voter educ program face face civic educ session organ women provinc reach million particip principl democraci civil right rule govern structur particip women elect administr voter candid encourag roundtabl session interact workshop provinci educ campaign final softwar provid computer map poll station analyz number voter poll station track movement elect materi countri support commun secur effort,0.497142857,0.827142857
enabl equit health reform albania eehr aim support albania progress health reform agenda strengthen govern issu health care sector allow hospit respond citizen need qualiti health care deliveri immedi object project help ministri health albanian health institut narrow health reform agenda feasibl prioriti action like greatest impact nation design implement action plan tool mechan provid evid better perform design test sit prepar guidelin broader nation implement test reform intervent project call produc tool approach address lack transpar account,0.3,0.42
local govern program albania lgpa work municip albania foster local econom growth improv local govern strengthen civic privat sector engag local develop lgpa encourag facilit local econom growth target municip increas invest creat job rais incom ultim expand municip base lgpa provid technic assist train staff target municip varieti govern issu includ collect asset manag budget procur servic provis improv manag effici creat busi friendli invest climat,-0.133333333,0.166666667
millennium challeng corpor albania threshold program stage mcca design strengthen rule reduc corrupt increas public oversight albania govern program inform technolog solut technic legal assist,-0.1,0.422222222
rule program rolp design promot better function oversight institut account court target institut societ intervent rolp task promot effici transpar account select court implement packag reform support rigor civic media monitor progress court modern improv task build capac high inspector declar audit asset hidaa select oversight institut improv check balanc oversight audit mechan branch govern,0.286666667,0.446666667
object star project support implement vietnam vietnam element access protocol relat bilater agreement support overal implement modern legal judici administr system develop vietnam institut human resourc capac implement develop recommend mitig advers effect global vulner sector popul,0.1,0.15
support albania millennium challeng account threshold agreement mcca design reduc corrupt reform public procur administr busi registr govern approach improv transpar effici servic,-0.25,0.533333333
rule program design improv uphold rule albania larg address corrupt program focu area judici perform popular mobil,0.05,0.95
purpos increas account municip govern commun serv achiev broad commun particip decis make oversight local public invest goal work select municip origin increas capac commun municip administr better articul need jointli plan develop municip expect work lead account participatori transpar govern expect intervent outcom contribut nation strategi municip develop,0.140625,0.219791667
assist network advocaci assist center project develop support exist nation advocaci assist center aac network initi establish usaid mobil action corrupt maac project project help address corrupt relat complaint citizen victim corrupt build local institut capac address corrupt network aac oper armenian young lawyer associ armavir develop center gegharkunik chamber commerc industri,-0.20625,0.420833333
assess administr legal bosnia herzegovina commiss determin administr legal function bosnia herzegovina undertak assess team ask provid technic assist program option improv legal framework administr institut improv facilit better complianc administr standard procedur countri team ask address problem backlog util case entiti court system file enforc payment primarili water heat bill individu busi,0.22,0.22
civil societi local govern support program cslgp aim increas level inform organ civic activ local nation level participatori decentr effici account local govern lead democrat societi project provid technic assist capac build local govern civic group engag participatori decis make foster construct particip cso polici make monitor empow local author embrac reform,0,0
access inform commun involv program focu train public offici local govern repres civic group freedom inform program conduct media outreach inform updat public govern issu armenia maintain freedom inform websit work improv mechan proactiv public govern hold inform provid free legal counsel citizen commun organ,0.1,0.2
mobil action corrupt armenia project maac design provid technic assist equip armenian peopl govern enhanc knowledg tool effect combat corrupt maac provid capac build assist govern agenc civil societi actor ngo coordin activ compon establish mechan address grievanc effect system level procedur reform design implement anti corrupt initi target govern agenc provid grant civil societi organ develop innov approach combat corrupt increas awar youth adult corrupt,-0.328571429,0.771428571
object anti corrupt advocaci legal advic center alac project provid citizen mean activ involv fight corrupt societi assist advic victim wit corrupt alac support project baku ganja guba main pillar project includ legal advic educ inform advocaci capac build public outreach mobil train seminar,-0.142083333,0.46375
parliamentari program azerbaijan task enhanc overal effect parliament greater procedur legisl transpar strengthen parliamentari capac effect constitu relat program aim build capac member parliament assist parliamentari staff assist establish constitu offic help establish transpar mechan legislatur enhanc capac parliament effect address civil societi concern,0.5,0.5
trade invest reform support program tirsp design help broaden sustain benefit econom growth simultan support develop transpar regulatori regim consist usaid core rule object remov critic polici regulatori administr barrier inhibit competit distort invest flow constrain trade limit progress econom integr tirsp task facilit access build capac compli core oblig commit promot develop trade invest enabl environ support streamlin transact cost relat busi establish oper support improv public infrastructur invest decis strengthen investor protect encourag major increas volum effici relat invest local foreign sourc,-0.015625,0.172916667
usaid azerbaijan partner council europ implement project collabor govern azerbaijan help prevent control occurr corrupt accord european intern standard year project design improv azerbaijan strateg anti corrupt framework improv domest legisl benchmark intern standard fight corrupt increas capac effici implement relev legisl framework establish network prevent financi money launder terror financ purpos enhanc govern capac prevent corrupt micro studi effici manag ethic provis conflict public servic,-0.25,0.508333333
purpos public expenditur reform support program azerbaijan promot adopt comprehens implement expenditur plan administr reform order significantli improv ration transpar capit budget medium term expenditur plan process aim improv transpar cost effici character budgetari approv track process promot complianc core anticorrupt econom competit social equiti develop goal govern azerbaijan improv sustain critic expenditur program growth path azerbaijan economi,0.016666667,0.066666667
project work govern citizen media public offici elect repres foster partnership provid incent anticorrupt reform,0.4,0.483333333
bangladesh democrat particip reform project work bangladeshi polit parti individu women youth help bridg commun parti constitu program design enhanc grassroot particip focu women youth improv parti access inform improv environ respons polit,0,0
goal strengthen democrat local govern bangladesh sdlg program improv transpar participatori public administr nation level enhanc legal polici reform nation level order promot expand project period project aim improv capac select local govern unit bangladesh includ union upazila parishad municip better respond need constitu,0.14,0.153333333
project seek increas confid democrat institut process bolivia promot region develop strengthen civil societi improv transpar function bolivia congress,0,0
object municip strengthen activ bolivia improv qualiti life bolivian support municip govern basic servic project work develop local capac task plan implement basic servic urban rural infrastructur project object improv municip govern manag servic deliveri perform particular attent increas account respons increas citizen particip local govern particular attent priorit commun need strengthen citizen oversight local govern oper implement municip servic infrastructur project manual labor kind contribut beneficiari promot sens greater citizen ownership,0.13030303,0.210606061
account project establish systemat sustain approach success combat corrupt long term work augment exist anticorrupt initi creat coordin comprehens publicli recogn civic anticorrupt campaign encourag ngo form larger inclus movement establish umbrella network ngo relev stakehold develop adopt enforc exist anti corrupt legisl polici creat avenu report corrupt avail mean public outreach rais awar grassroot level,-0.1953125,0.581770833
object open govern initi bulgaria improv account mechan bulgarian public administr support develop system intern control enhanc qualiti suprem audit streamlin public procur goal activ assist govern bulgaria strengthen govern audit compris intern control suprem audit correspond parliamentari oversight follow action second goal strengthen bulgaria public procur provid continu assist sector corrupt risk high program aim ultim elimin condit corrupt result poor intern control scarc manag,-0.114,0.394
object jsdp build effect credibl justic institut enabl access european union strengthen independ account effect judiciari support better coordin unifi justic bolster public confid rule project support ngo advoc independ account judiciari,0.166666667,0.188888889
object govern account project improv capac municip bosnia herzegovina provid better servic citizen increas transpar respons decis make effect manag human capit resourc support polici fiscal framework conduc account local govern,0.166666667,0.2
primari goal judici sector develop project jsdp improv effici fair justic bosnia herzegovina implement cross cut compon includ strengthen institut capac perform high judici prosecutori council hjpc improv court administr reduc case backlog court strengthen institut capac perform state ministri justic particularli legisl draft skill improv indig crimin defens servic creat nation level legal offic provid servic,0.265,0.41
govern account project design build capac critic mass municip repres thirti percent total number better serv citizen polici fiscal framework good govern aim provid local govern target technic assist improv custom servic profil administr manag system includ establish citizen servic center increas level transpar inform flow local govern depart citizen busi expand municip control revenu expenditur improv human resourc manag,0.157142857,0.292857143
program aim strengthen rule respect human right increas transpar access judici,0.142857143,0.317857143
burundi polici reform program aim strengthen relat govern civil societi media order promot dialogu foster transpar participatori land polici formul process train conflict manag anti corrupt advocaci project build capac govern civil societi media understand discuss polici matter inform inclus manner,-0.5,1
purpos post conflict transit assist program pctap burundi increas capac newli elect govern offici provinc commun collin level govern effect transpar manner promot construct relationship elect govern offici civil societi improv understand respect role increas capac nation govern civil societi plan implement nation level polici build capac area critic success post conflict transit increas civil societi capac promot peac reconcili,0.633333333,0.6
goal ctip program improv abil cambodian institut combat traffic person project seek strengthen royal govern cambodia abil coordin develop polici regul enforc mechan combat traffic person improv enforc capac combat traffic person develop coordin standard train counter traffic person project aim improv victim support servic improv enforc capac combat crime promot effect prevent particularli potenti victim traffic labor exploit collect data share inform,-0.05,0.033333333
strengthen govern account project includ compon local administr reform laar program mainstream anti corrupt equiti program laar program focu primarili commun council commun level civil societi group enhanc local democraci implic local develop laar program build linkag citizen local govern nation govern increas public particip commun plan concentr process democrat good govern principl practic local administr program seek work multipl level curb corrupt cambodia improv knowledg awar corrupt issu develop skill resourc counter corrupt effect behavior chang increas demand chang legal framework cambodia support transpar account anti corrupt practic,-0.123076923,0.451282051
program specif goal assist implement accusatori trial increas number avail skill colombia public defend help reform administr manag judici transpar effici equit increas access justic poor disenfranchis improv qualiti increas avail altern disput resolut servic assist establish justic hous colombia increas capac civil societi mobil support justic reform monitor assess advoc assist nation justic reform process,-0.2,0.333333333
program intend improv protect human right access justic cambodia origin design primarili provid support human right ngo scope program expand includ support legal judici reform cooper govern institut program overal improv abil cambodian stakehold government government undertak effect advocaci educ train effort ensur justic human right properli observ uphold,0.151020408,0.301020408
public legal advocaci program pilap goal legal assert protect citizen right encourag government privat sector transpar account pilap select legal case strong potenti gener public debat demand broader account respect legal norm mere bound case protect individu client right pilap hop demonstr legal viabil instrument gener greater transpar respect rule pilap seek assist citizen govern better understand right oblig citizen develop confid legal right respect govern demonstr commit respect rule,0.204761905,0.356845238
program right justic cambodia praj focu human right advocaci rule promot biodivers protect build success year program right justic cambodia praj project continu work promot access justic improv profession standard futur cambodian legal commun strengthen grassroot advocaci commun network includ commun base advocaci protect cambodia biodivers initi praj includ activ improv collect justic data develop institut capac ministri justic improv court administr case manag select court,0.069642857,0.363392857
better health servic program cambodia work ministri health increas demand equit access qualiti health servic project aim build capac public privat servic deliveri system expand model health financ improv qualiti impact matern neonat child health servic strengthen control infecti diseas build health system strengthen cambodia project manag,0.25,0.283333333
engag labor issu cross sector integr legal polit econom dimens improv efficaci strateg approach program program cambodia emphas good health good educ good polit econom govern expect futur focu busi enabl environ issu focu provid platform help assur cambodia labor enabl environ strengthen corrupt present ongo challeng cambodia consider traction fight corrupt gain public privat sector pursu anti corrupt measur labor sector empow labor civil societi organ fight corrupt directli neg affect member interest respect rule pillar promot democraci good govern cambodia promot requir promot substant human civil right includ labor right respect procedur justic establish rule procedur fairli transpar consist appli sound institut,0.123214286,0.514880952
goal project support region govern stabil effort rais legitimaci state presenc build local capac implement good govern increas citizen particip plan deliveri public servic,0.233333333,0.222222222
program object strengthen justic servic colombia ensur access legal servic improv access justic reduc impun especi peopl live rural margin region colombia affect violenc,0.112121212,0.233333333
object program provid technic support train improv manageri capac local govern effect manag royalti increas citizen particip overse develop social infrastructur vulner popul accord law regul program work municip guajira cordoba meta,0.016666667,0.033333333
build recoveri democrat govern advanc consolid transit program brdg program aim strengthen institut capac independ elector commiss polit administr justic commiss nation assembl program aim provid emerg logist assist economi financ commiss nation assembl emerg logist assist provinci assembl district,0,0
project combin integr area activ rule anticorrupt rule compon focu assist justic earn confid citizen deliv independ effect ethic justic administ imparti highli qualifi justic profession anticorrupt compon serv strengthen public sector institut help discov investig prosecut corrupt case anticorrupt compon draw close summer rule compon extend spring,-0.25,0.533333333
main object program develop access empow justic improv judici manag lower cost access justic inform engag public projustic design main compon correspond core object support establish judici institut effect transpar manag judiciari ministri justic effect transpar access court oper pilot jurisdict increas access justic vulner popul,0.111111111,0.244444444
major object program enhanc transpar oversight contribut govern effect polit stabil djibouti specif program goal dacp twofold assist offic inspector gener parliament djibouti provid technic assist train support promot good govern transpar public sector function elimin precondit corrupt increas public awar govern fight corrupt public servic announc psa,-0.033928571,0.471428571
dominican republ transpar citizen action program aim reduc corrupt help dominican combat corrupt practic chang attitud consequ corrupt enabl wide chang prevent reduc corrupt goal achiev increas citizen awar corrupt issu mass media campaign help build network local nongovernment organ ngo work corrupt strengthen citizen oversight govern activ develop media grant facilit coverag corrupt issu strengthen govern abil respond corrupt track corrupt complaint train prosecutor judg demonstr project passport custom agenc,-0.369230769,0.746153846
dominican republ transpar account project aim improv access public inform public procur process intern control system project work increas access public inform ensur freedom inform offic offic suffici polit budgetari support aim improv transpar competit govern procur assist nation offic procur comptrol gener target line ministri follow promot transpar bid award procedur project aim increas govern horizont account control corrupt strengthen check balanc institut goal achiev uniform approach strengthen inter institut commun cooper standard guidelin perform mean ultim reduc incid corrupt,-0.1875,0.4125
project aim increas effect transpar fair dominican crimin justic,0.7,0.9
project object improv access public inform public procur process intern control system project work increas access public inform ensur freedom inform offic offic suffici polit budgetari support,0,0.066666667
project object improv judiciari technic manag capac process critic case project help establish mechan strengthen intern extern oversight justic sector reform oper design implement activ enhanc independ imparti justic institut particularli judiciari public ministri promot coordin justic sector actor project manag grant local support sustain commun justic hous,0,0.033333333
task project includ track anticorrupt legisl support media activ rais citizen awar corrupt issu publish transpar index public institut sponsor workshop seminar,-0.25,0.533333333
desk studi task review anti traffic program east asia pacif region,0,0
timor lest threshold program aim reduc corrupt build network function effect anti corrupt institut actor aim support anti corrupt commiss lead agenc anti corrupt educ prevent investig build offic prosecutor gener investig prosecutori skill particularli corrupt case econom crime aim strengthen audit capabl intern govern audit entiti establish extern audit author improv govern timor lest abil prevent detect instanc corrupt strengthen parliament role increas oversight govern fiscal manag practic furthermor program aim improv access immun servic creat capabl effect commun health main goal strengthen servic deliveri identif unimmun children identifi underserv area develop long term solut improv maintain higher coverag rat immun chronic coverag area integr commun health servic unit sisca function healthcar servic unit project support district,-0.292592593,0.803703704
report analyz statu corrupt anticorrupt program timor lest focu particular vulner corrupt abus offer prioriti program option usaid govern donor government organ consid subsequ year,-0.277777778,0.777777778
support local govern elect civil societi timor lest program goal enhanc capac newli elect suco council strengthen citizen particip villag municip govern program focu strengthen capac suco council municip oecuss bobonaro ainaro baucau strengthen citizen particip villag municip govern,0.533333333,0.6
project anticorrupt element focu provid profession advic assist anticorrupt commission project support rang strateg advic plan start administr support train investig train intern exposur procur deliveri custom manag inform project aim inform popul judici public role anticorrupt effort,0,0.066666667
democrat reform support program drsp aim support lead advoc democrat reform public privat sector civil societi advanc safeguard democrat reform includ rule freedom inform justic sector reform free fair elect drsp support develop framework directli elect local govern head provid technic assist govern agenc improv legisl support effort fight local level corrupt support effort implement special autonomi aceh papua,0.284126984,0.570899471
nation multi disciplinari assess team spend week conduct open end interview relev actor state local level includ villag elder suco leader repres govern ministri media outlet religi organ civil societi myriad nongovernment organ addit interview repres unit nation mission timor lest unmit intern agenc mission base dili team member travel suai nearbi border indonesia baucau timor lest assess team member identifi arch factor breakdown imped progress rule devis recommend address breakdown,-0.266666667,0.5
program aim build independ judici perform monitor civil societi organ media project support legal advocaci campaign facilit collabor government institut civil societi aim establish compet access legal servic disput resolut mechan commun level strengthen capac resist administr corrupt final project aim increas transpar judici process inform citizen access justic particularli margin popul,-0.025,0.6
program combat corrupt improv transpar account democrat institut increas oversight capac civil societi increas polici consensu democraci area project object directli support strateg object increas citizen support democraci measur level citizen percept corrupt,-0.5,1
democrat local govern project ddlgp ecuador aim strengthen democrat local govern oper ecuadorian municip ecuador ddlgp know project democraci develop ddlgp integr compon municip strengthen technic train stakehold particip citizen particip focu mechan citizen particip local govern decis make help ensur resourc project direct solv prioriti concern commun polici reform support transfer author subnat govern unit legal regulatori reform coordin polici reform initi,0.06,0.12
justic sector reform program jsrp indonesia respons ensur achiev program object develop effect transpar account independ judici branch govern assist implement roadmap reform public prosecut addit grant conduct indonesia corrupt percept index survey public awar campaign corrupt level indonesia survey aim measur corrupt level citi indonesia,-0.3,0.626666667
purpos municip strengthen project promuni ecuador provid technic expertis municip govern primarili promot effect account govern local level formal citizen particip decis make oversight process promuni primari object increas local govern capac public manag municip addit program enhanc public particip includ citizen strateg plan process foster transpar improv access inform,0,0.033333333
program build previou reform egypt competit project provid technic assist enhanc egypt compet regulatori reform streamlin busi process improv labor skill product modern financi sector project support egypt goal promot global competit educ innov human resourc base economi benefit egyptian equit focu broad product driver competit includ conduc regulatori reform streamlin busi process improv labor skill product strengthen financi sector,-0.1075,0.3425
local govern support program lgsp support expand participatori effect account govern integr assist activ engag local govern legisl council civil societi organ cso specif lgsp seek strengthen core compet local administr strateg participatori plan financ budget account manag system public servic deliveri seek strengthen demand democrat govern local level work local council civil societi media,0,0.011111111
water wastewat sector support program object promot sustain water sanit util technic assist train hold compani water wastewat oper subsidiari project aim build organ capac water product distribut wastewat collect treatment dispos relat capit improv project seek assist increas financi commerci viabil util develop implement capit invest plan program manag improv human resourc manag increas manageri technic oper effici improv servic qualiti,0,0.1
project goal solidifi reform develop clear implement approach achiev measur result provid technic servic relat resourc strengthen polici legal regulatori framework water wastewat develop implement reform support govern capac provid polici direct effect oversight sector strengthen activ includ develop strateg plan sector creat framework public privat partnership improv capit invest plan effort aim improv qualiti water wastewat servic extend benefit custom,0.1,0.2625
georgia busi climat reform gbcr project work georgian govern improv public manag streamlin servic busi public includ simplifi administr procedur project partner govern improv custom administr assist analysi draft amend implement commerci law improv busi regul,0,0.066666667
combat corrupt promot transpar program multi prong approach effort fight corrupt egypt involv promin egyptian expert repres busi associ civil societi organ multin corpor polit parti academ institut media outlet furthermor program work empow partner case democrat market orient reform advoc econom polici reform combat corrupt,-0.5,1
project aim review larg collect document recent histori current statu indonesian prior field work assess seri appli analyt framework develop dcha assess begin identifi salient featur indonesian context trace histor evolut countri allow appreci goal prompt govern engag reform section assess identifi deficit continu confront reform examin princip characterist democrat decentr local govern ddlg author autonomi account capac lead identif rang constraint address assist program section examin feasibl type reform util polit economi optic identifi actor interest condit perspect reform distinguish winner loser help gaug like support opposit path reform section delv institut arena process play nation subnat civil societi arena,0,0.1625
combat violenc women children project egypt work nation council women commiss grind break studi violenc women base recommend studi support develop nation strategi combat violenc women project support implement amend child particularli provis establish nation wide child protect network train child protect committe local bodi implement project provid grant fund technic assist train government organ provid legal servic vulner children,-0.175,0.4
administr crimin justic aocj project work egyptian govern improv administr crimin justic project help autom prosecutori file ensur complet case effici fairli process help strengthen provid appoint qualifi counsel repres defend project help train prosecutor right counsel human right issu,0.19047619,0.39047619
project object promot invest improv egypt financi structur servic support macroeconom stabil increas trade invest strengthen privat sector project seek reduc govern role deregul burdensom regim streamlin process harmon polici law regul govern econom institut task build capac individu institut necessari support implement reform assur polici process procedur implement adopt appropri sustain,0,0
goal build market infrastructur requir real estat financ form secur lend technic assist aim institut strengthen regulatori reform profession develop overal goal achiev technic assist develop real estat financ channel includ sound legal framework consist appli credit underwrit procedur access long term fund real estat activ support financi institut technic support improv legal institut process collater financ includ modern registr real properti introduc improv procedur record lien repossess collater support improv credit inform produc state cost collect retriev manag inform assist develop innov financi instrument seek broaden rang financi instrument mobil resourc product invest,0.194444444,0.3
project violenc impun pavi program aim strengthen prosecut crime improv manag coordin justic sector institut support merit base hire,-0.8,1
commerci develop program cldp work egypt year area trade insur judici reform competit invest consum protect intellectu properti standard work cldp staff develop close work relationship level egyptian offici steward econom critic infrastructur agenc transit relationship form basi continu institut capac build econom critic institut egyptian judiciari consum protect agenc egyptian organ standard,0,0
salvador democraci strengthen program main object continu effort support level salvadoran govern increas respons account citizen increas transpar govern ethic behavior public offici reduc condit corrupt public administr strengthen link citizen govern increas confid continu foster civil societi particip particularli privat sector promot transpar account control corrupt public fund,-0.138888889,0.422222222
salvador transpar govern program focu provid technic assist support govern salvador develop proper transpar account framework support civil societi organ media actor exercis proper oversight nation govern,0,0.1
project object implement crimin procedur code improv commun polic relat provid technic assist train improv scientif evid,0,0
fiscal polici expenditur manag program fpemp help govern increas revenu rais rat achiev greater transpar account effici public resourc program aim modern gener director intern revenu improv taxpay servic reduc fraud evas enhanc legitimaci project build foundat reform lay preced project call polici administr reform tpar,0.233333333,0.288888889
strengthen land administr program ethiopia focu reform legal framework land properti harmon region land administr law feder legisl aim improv awar land user stakehold land administr land law regul strengthen capac feder region govern implement second level land registr certif,0.1,0.1
judici independ legal empower project jilep aim strengthen judici independ strengthen institut capac legal profession associ improv qualiti legal educ develop commerci improv commerci relat practic jilep activ gear contribut judici independ transpar profession,0.2,0.2
