Country Name,Country Code,Series Name,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Cook Islands,COK,Control of Corruption: Number of Sources,CC.NO.SRC,1,..,1,1,1,1,1,..,..,..,..,..,..
Costa Rica,CRI,Control of Corruption: Number of Sources,CC.NO.SRC,13,12,12,11,10,11,11,11,11,13,12,12,13
Cote d'Ivoire,CIV,Control of Corruption: Number of Sources,CC.NO.SRC,8,10,12,12,13,14,15,14,15,15,14,14,15
Croatia,HRV,Control of Corruption: Number of Sources,CC.NO.SRC,13,12,12,12,13,14,14,14,14,13,13,13,12
Cuba,CUB,Control of Corruption: Number of Sources,CC.NO.SRC,7,6,6,6,6,7,7,7,7,7,7,7,7
Cyprus,CYP,Control of Corruption: Number of Sources,CC.NO.SRC,6,6,7,7,7,8,8,8,8,8,9,9,8
Czech Republic,CZE,Control of Corruption: Number of Sources,CC.NO.SRC,13,13,12,13,14,14,13,13,13,12,12,12,11
Denmark,DNK,Control of Corruption: Number of Sources,CC.NO.SRC,8,8,9,9,9,10,10,10,10,9,9,9,9
Djibouti,DJI,Control of Corruption: Number of Sources,CC.NO.SRC,5,6,7,7,7,7,8,8,7,7,7,8,8
Dominica,DMA,Control of Corruption: Number of Sources,CC.NO.SRC,3,2,2,2,2,2,2,2,3,3,3,3,3
Dominican Republic,DOM,Control of Corruption: Number of Sources,CC.NO.SRC,13,13,13,12,13,13,13,12,13,13,13,13,14
Ecuador,ECU,Control of Corruption: Number of Sources,CC.NO.SRC,14,13,14,14,13,14,14,12,13,14,13,13,13
"Egypt, Arab Rep.",EGY,Control of Corruption: Number of Sources,CC.NO.SRC,12,12,13,13,14,16,16,15,15,14,15,14,13
El Salvador,SLV,Control of Corruption: Number of Sources,CC.NO.SRC,11,11,13,13,14,15,15,14,14,14,13,14,14
Equatorial Guinea,GNQ,Control of Corruption: Number of Sources,CC.NO.SRC,5,5,5,6,6,6,7,6,6,6,6,6,7
Eritrea,ERI,Control of Corruption: Number of Sources,CC.NO.SRC,8,8,8,8,8,8,9,7,8,9,9,9,9
Estonia,EST,Control of Corruption: Number of Sources,CC.NO.SRC,12,12,11,11,12,13,13,13,13,12,12,12,11
Eswatini,SWZ,Control of Corruption: Number of Sources,CC.NO.SRC,7,7,7,8,9,10,11,10,10,9,9,9,10
Ethiopia,ETH,Control of Corruption: Number of Sources,CC.NO.SRC,14,13,13,14,15,14,15,14,14,13,13,13,13
Fiji,FJI,Control of Corruption: Number of Sources,CC.NO.SRC,4,4,4,5,5,5,5,4,4,4,3,3,3
Finland,FIN,Control of Corruption: Number of Sources,CC.NO.SRC,8,8,9,9,9,10,10,10,10,9,9,9,9
France,FRA,Control of Corruption: Number of Sources,CC.NO.SRC,10,10,10,9,10,10,10,9,9,10,10,10,9
French Guiana,GUF,Control of Corruption: Number of Sources,CC.NO.SRC,1,1,2,2,2,2,2,2,2,2,2,2,2
Gabon,GAB,Control of Corruption: Number of Sources,CC.NO.SRC,9,9,8,8,8,10,11,10,11,11,11,13,14
"Gambia, The",GMB,Control of Corruption: Number of Sources,CC.NO.SRC,8,8,8,8,8,8,9,9,9,9,10,12,12
Georgia,GEO,Control of Corruption: Number of Sources,CC.NO.SRC,13,13,13,13,13,15,14,14,14,12,12,12,10
Germany,DEU,Control of Corruption: Number of Sources,CC.NO.SRC,9,9,8,9,11,11,10,9,9,10,10,10,9
Ghana,GHA,Control of Corruption: Number of Sources,CC.NO.SRC,13,14,15,15,16,16,16,15,15,15,15,15,15
Greece,GRC,Control of Corruption: Number of Sources,CC.NO.SRC,9,9,9,10,10,11,11,10,10,10,10,10,9
Greenland,GRL,Control of Corruption: Number of Sources,CC.NO.SRC,..,..,1,1,1,1,1,1,1,2,2,2,1
Grenada,GRD,Control of Corruption: Number of Sources,CC.NO.SRC,3,3,3,3,3,3,3,2,4,4,4,4,4
Guam,GUM,Control of Corruption: Number of Sources,CC.NO.SRC,1,1,1,1,1,1,1,1,1,1,1,1,1
Guatemala,GTM,Control of Corruption: Number of Sources,CC.NO.SRC,15,14,13,14,15,15,14,13,13,14,14,14,14
Guinea,GIN,Control of Corruption: Number of Sources,CC.NO.SRC,8,9,9,9,10,12,13,13,14,13,14,14,14
Guinea-Bissau,GNB,Control of Corruption: Number of Sources,CC.NO.SRC,6,6,6,6,6,6,7,7,7,7,7,8,8
Guyana,GUY,Control of Corruption: Number of Sources,CC.NO.SRC,10,9,9,9,9,10,10,9,9,7,7,7,8
Haiti,HTI,Control of Corruption: Number of Sources,CC.NO.SRC,10,10,11,11,12,12,12,11,11,10,11,10,10
Honduras,HND,Control of Corruption: Number of Sources,CC.NO.SRC,12,12,13,13,13,13,13,13,13,14,14,14,13
"Hong Kong SAR, China",HKG,Control of Corruption: Number of Sources,CC.NO.SRC,9,9,9,9,10,10,10,9,8,9,10,10,9
Hungary,HUN,Control of Corruption: Number of Sources,CC.NO.SRC,12,14,14,13,13,14,13,13,13,12,12,12,11
Iceland,ISL,Control of Corruption: Number of Sources,CC.NO.SRC,7,7,7,8,8,9,9,8,8,8,8,8,7
India,IND,Control of Corruption: Number of Sources,CC.NO.SRC,14,14,14,14,15,15,14,14,14,14,14,14,13
Indonesia,IDN,Control of Corruption: Number of Sources,CC.NO.SRC,16,15,15,15,16,16,15,14,14,14,14,14,13
"Iran, Islamic Rep.",IRN,Control of Corruption: Number of Sources,CC.NO.SRC,10,10,9,9,10,10,10,9,9,9,9,10,10
Iraq,IRQ,Control of Corruption: Number of Sources,CC.NO.SRC,5,8,9,10,9,10,10,10,10,9,9,9,9
Ireland,IRL,Control of Corruption: Number of Sources,CC.NO.SRC,9,9,9,9,10,10,9,8,8,8,8,8,8
Israel,ISR,Control of Corruption: Number of Sources,CC.NO.SRC,10,10,9,9,9,9,9,9,9,8,8,8,8
Italy,ITA,Control of Corruption: Number of Sources,CC.NO.SRC,9,9,9,11,12,12,11,10,10,10,10,10,9
Jamaica,JAM,Control of Corruption: Number of Sources,CC.NO.SRC,10,10,10,10,11,13,13,13,13,13,11,11,11
Japan,JPN,Control of Corruption: Number of Sources,CC.NO.SRC,11,11,11,11,11,11,11,11,11,11,11,11,10
"Jersey, Channel Islands",JEY,Control of Corruption: Number of Sources,CC.NO.SRC,..,..,..,..,1,1,1,1,1,1,1,1,1
Jordan,JOR,Control of Corruption: Number of Sources,CC.NO.SRC,13,13,13,13,13,14,13,12,12,12,11,11,12
Kazakhstan,KAZ,Control of Corruption: Number of Sources,CC.NO.SRC,13,14,13,13,13,15,14,14,14,13,13,13,12
Kenya,KEN,Control of Corruption: Number of Sources,CC.NO.SRC,15,15,15,15,16,16,16,15,15,15,15,15,15
Kiribati,KIR,Control of Corruption: Number of Sources,CC.NO.SRC,3,3,4,4,4,4,4,4,4,4,3,3,3
"Korea, Dem. People’s Rep.",PRK,Control of Corruption: Number of Sources,CC.NO.SRC,5,5,6,6,6,6,6,5,6,6,6,6,6
"Korea, Rep.",KOR,Control of Corruption: Number of Sources,CC.NO.SRC,12,12,13,13,14,13,13,13,12,12,12,12,11
Kosovo,XKX,Control of Corruption: Number of Sources,CC.NO.SRC,5,7,8,9,9,9,8,9,9,8,8,8,7
Kuwait,KWT,Control of Corruption: Number of Sources,CC.NO.SRC,7,8,8,8,8,7,7,7,7,7,7,7,7
Kyrgyz Republic,KGZ,Control of Corruption: Number of Sources,CC.NO.SRC,12,12,12,12,12,13,13,13,13,12,12,12,11
Lao PDR,LAO,Control of Corruption: Number of Sources,CC.NO.SRC,8,9,10,10,10,10,11,10,9,9,9,9,9
Latvia,LVA,Control of Corruption: Number of Sources,CC.NO.SRC,11,11,12,12,11,11,12,12,12,11,11,11,10
Lebanon,LBN,Control of Corruption: Number of Sources,CC.NO.SRC,10,11,12,13,14,13,13,11,12,12,12,10,12
Lesotho,LSO,Control of Corruption: Number of Sources,CC.NO.SRC,9,9,9,9,9,10,11,11,11,12,11,11,11
Liberia,LBR,Control of Corruption: Number of Sources,CC.NO.SRC,7,11,13,13,14,16,16,14,15,14,14,14,13
Libya,LBY,Control of Corruption: Number of Sources,CC.NO.SRC,7,8,9,9,8,11,12,11,9,8,8,9,9
Liechtenstein,LIE,Control of Corruption: Number of Sources,CC.NO.SRC,2,2,3,2,2,2,2,2,2,2,2,2,2
Lithuania,LTU,Control of Corruption: Number of Sources,CC.NO.SRC,13,14,13,13,12,12,12,12,12,11,11,11,10
Luxembourg,LUX,Control of Corruption: Number of Sources,CC.NO.SRC,6,6,7,7,7,7,7,6,6,7,7,7,7
"Macao SAR, China",MAC,Control of Corruption: Number of Sources,CC.NO.SRC,2,2,3,3,3,3,3,3,3,3,3,3,3
Madagascar,MDG,Control of Corruption: Number of Sources,CC.NO.SRC,12,12,12,13,13,15,16,15,15,15,15,14,15
Malawi,MWI,Control of Corruption: Number of Sources,CC.NO.SRC,12,13,13,14,14,15,15,13,14,14,14,14,14
Malaysia,MYS,Control of Corruption: Number of Sources,CC.NO.SRC,14,14,14,15,16,16,15,13,14,14,13,12,11
Maldives,MDV,Control of Corruption: Number of Sources,CC.NO.SRC,5,5,5,6,6,6,7,6,6,5,5,5,5
Mali,MLI,Control of Corruption: Number of Sources,CC.NO.SRC,11,11,12,13,13,13,14,13,14,14,14,14,14
Malta,MLT,Control of Corruption: Number of Sources,CC.NO.SRC,4,4,6,6,6,6,6,6,6,6,6,6,6
Marshall Islands,MHL,Control of Corruption: Number of Sources,CC.NO.SRC,2,2,3,3,3,3,2,2,2,2,2,2,2
Martinique,MTQ,Control of Corruption: Number of Sources,CC.NO.SRC,1,1,1,1,1,1,1,1,1,1,1,1,1
Mauritania,MRT,Control of Corruption: Number of Sources,CC.NO.SRC,10,10,11,11,11,11,12,11,11,11,11,11,10
Mauritius,MUS,Control of Corruption: Number of Sources,CC.NO.SRC,9,9,9,9,11,11,12,12,13,13,12,13,13
Mexico,MEX,Control of Corruption: Number of Sources,CC.NO.SRC,15,15,15,16,17,17,16,15,15,15,14,15,15
"Micronesia, Fed. Sts.",FSM,Control of Corruption: Number of Sources,CC.NO.SRC,3,3,3,3,3,3,3,3,3,3,3,3,3
Moldova,MDA,Control of Corruption: Number of Sources,CC.NO.SRC,13,13,12,13,13,14,13,13,12,12,12,12,11
Monaco,MCO,Control of Corruption: Number of Sources,CC.NO.SRC,..,..,..,..,..,..,..,..,..,..,..,..,..
Mongolia,MNG,Control of Corruption: Number of Sources,CC.NO.SRC,9,11,14,14,14,15,14,13,15,14,14,14,13
Montenegro,MNE,Control of Corruption: Number of Sources,CC.NO.SRC,7,9,9,10,9,9,9,9,10,10,10,10,9
Morocco,MAR,Control of Corruption: Number of Sources,CC.NO.SRC,13,14,14,14,15,16,16,15,14,13,14,14,14
Mozambique,MOZ,Control of Corruption: Number of Sources,CC.NO.SRC,14,14,14,14,14,14,15,14,13,12,13,13,13
Myanmar,MMR,Control of Corruption: Number of Sources,CC.NO.SRC,6,6,6,6,7,9,11,12,12,12,12,12,11
Namibia,NAM,Control of Corruption: Number of Sources,CC.NO.SRC,11,10,12,12,12,11,12,12,14,14,13,12,13
Nauru,NRU,Control of Corruption: Number of Sources,CC.NO.SRC,1,1,1,1,1,1,1,1,1,1,1,1,1
Nepal,NPL,Control of Corruption: Number of Sources,CC.NO.SRC,10,10,12,13,13,13,13,12,12,11,11,11,11
Netherlands,NLD,Control of Corruption: Number of Sources,CC.NO.SRC,8,8,9,9,10,10,10,9,9,10,10,10,9
Netherlands Antilles,ANT,Control of Corruption: Number of Sources,CC.NO.SRC,1,1,1,1,1,1,1,..,..,..,..,..,..
New Zealand,NZL,Control of Corruption: Number of Sources,CC.NO.SRC,8,8,8,9,10,10,10,10,10,9,9,9,9
Nicaragua,NIC,Control of Corruption: Number of Sources,CC.NO.SRC,14,13,14,14,14,15,14,13,13,13,14,14,12
Niger,NER,Control of Corruption: Number of Sources,CC.NO.SRC,9,9,10,10,11,11,12,12,13,13,13,13,13
Nigeria,NGA,Control of Corruption: Number of Sources,CC.NO.SRC,15,15,15,15,16,16,16,15,15,15,15,15,15
Niue,NIU,Control of Corruption: Number of Sources,CC.NO.SRC,..,..,1,1,1,1,1,..,..,..,..,..,..
North Macedonia,MKD,Control of Corruption: Number of Sources,CC.NO.SRC,11,12,12,12,10,11,11,11,11,11,10,9,10
Norway,NOR,Control of Corruption: Number of Sources,CC.NO.SRC,9,9,9,9,10,10,10,10,10,9,9,9,8
Oman,OMN,Control of Corruption: Number of Sources,CC.NO.SRC,6,6,7,7,7,7,7,7,7,7,6,6,7
Pakistan,PAK,Control of Corruption: Number of Sources,CC.NO.SRC,14,14,14,14,15,15,14,13,13,13,13,13,12
Palau,PLW,Control of Corruption: Number of Sources,CC.NO.SRC,..,1,1,1,1,1,1,1,1,1,1,1,1
Panama,PAN,Control of Corruption: Number of Sources,CC.NO.SRC,12,12,13,13,13,13,13,12,12,13,13,13,13
Papua New Guinea,PNG,Control of Corruption: Number of Sources,CC.NO.SRC,8,8,8,9,9,9,9,9,9,8,8,8,8
Paraguay,PRY,Control of Corruption: Number of Sources,CC.NO.SRC,13,13,13,13,13,14,14,13,13,13,12,12,12
Peru,PER,Control of Corruption: Number of Sources,CC.NO.SRC,15,16,16,16,17,17,16,15,15,15,15,15,15
Philippines,PHL,Control of Corruption: Number of Sources,CC.NO.SRC,15,15,15,15,16,16,15,14,14,13,13,13,13
Poland,POL,Control of Corruption: Number of Sources,CC.NO.SRC,13,14,14,14,15,15,14,13,13,13,13,12,12
Portugal,PRT,Control of Corruption: Number of Sources,CC.NO.SRC,9,9,9,9,9,10,10,10,10,10,10,10,9
Puerto Rico,PRI,Control of Corruption: Number of Sources,CC.NO.SRC,3,3,4,4,4,4,4,4,4,3,3,2,2
Qatar,QAT,Control of Corruption: Number of Sources,CC.NO.SRC,6,6,10,10,9,9,9,9,8,8,8,8,8
Reunion,REU,Control of Corruption: Number of Sources,CC.NO.SRC,1,1,1,1,1,1,1,1,1,1,1,1,1
Romania,ROU,Control of Corruption: Number of Sources,CC.NO.SRC,15,14,14,14,15,15,14,14,14,13,13,13,12
Russian Federation,RUS,Control of Corruption: Number of Sources,CC.NO.SRC,14,14,14,14,15,15,14,13,13,13,13,12,12
Rwanda,RWA,Control of Corruption: Number of Sources,CC.NO.SRC,9,9,10,12,12,12,13,12,12,11,11,11,11
Samoa,WSM,Control of Corruption: Number of Sources,CC.NO.SRC,3,3,4,4,4,4,4,3,3,3,3,3,3
San Marino,SMR,Control of Corruption: Number of Sources,CC.NO.SRC,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,Control of Corruption: Number of Sources,CC.NO.SRC,6,6,5,6,6,6,7,7,7,7,8,9,9
Saudi Arabia,SAU,Control of Corruption: Number of Sources,CC.NO.SRC,7,8,9,9,8,9,9,8,7,8,8,8,8
Senegal,SEN,Control of Corruption: Number of Sources,CC.NO.SRC,14,14,13,14,15,15,16,15,15,15,15,15,15
Serbia,SRB,Control of Corruption: Number of Sources,CC.NO.SRC,12,12,13,13,13,14,13,13,13,12,12,11,10
Seychelles,SYC,Control of Corruption: Number of Sources,CC.NO.SRC,6,5,6,6,6,7,8,8,8,7,8,8,8
Sierra Leone,SLE,Control of Corruption: Number of Sources,CC.NO.SRC,10,11,12,12,13,16,16,15,15,14,14,14,13
Singapore,SGP,Control of Corruption: Number of Sources,CC.NO.SRC,11,11,11,11,12,12,12,11,11,11,11,11,11
Slovak Republic,SVK,Control of Corruption: Number of Sources,CC.NO.SRC,11,11,12,12,12,12,12,12,12,11,11,11,10
Slovenia,SVN,Control of Corruption: Number of Sources,CC.NO.SRC,11,11,11,12,11,13,13,13,13,12,12,12,11
Solomon Islands,SLB,Control of Corruption: Number of Sources,CC.NO.SRC,5,5,5,6,6,6,6,6,6,5,4,4,4
Somalia,SOM,Control of Corruption: Number of Sources,CC.NO.SRC,6,6,8,8,8,9,9,8,9,10,10,10,9
South Africa,ZAF,Control of Corruption: Number of Sources,CC.NO.SRC,16,15,16,16,17,17,17,16,16,16,16,16,16
South Sudan,SSD,Control of Corruption: Number of Sources,CC.NO.SRC,..,..,..,1,4,7,8,9,10,9,9,9,9
Spain,ESP,Control of Corruption: Number of Sources,CC.NO.SRC,10,10,10,9,10,10,10,10,10,10,10,10,9
Sri Lanka,LKA,Control of Corruption: Number of Sources,CC.NO.SRC,13,13,13,13,13,14,14,13,13,13,13,11,10
St. Kitts and Nevis,KNA,Control of Corruption: Number of Sources,CC.NO.SRC,3,2,2,2,2,2,2,2,3,3,2,2,2
St. Lucia,LCA,Control of Corruption: Number of Sources,CC.NO.SRC,3,2,2,2,2,3,3,3,4,4,3,3,3
St. Vincent and the Grenadines,VCT,Control of Corruption: Number of Sources,CC.NO.SRC,3,2,2,2,2,2,2,2,3,3,3,3,3
Sudan,SDN,Control of Corruption: Number of Sources,CC.NO.SRC,10,10,10,11,11,11,12,12,12,12,12,12,12
Suriname,SUR,Control of Corruption: Number of Sources,CC.NO.SRC,5,5,6,7,7,8,8,6,5,5,5,5,5
Sweden,SWE,Control of Corruption: Number of Sources,CC.NO.SRC,9,9,9,8,9,9,9,9,9,10,10,10,9
Switzerland,CHE,Control of Corruption: Number of Sources,CC.NO.SRC,8,8,9,9,9,9,9,9,9,9,9,9,8
Syrian Arab Republic,SYR,Control of Corruption: Number of Sources,CC.NO.SRC,10,10,11,11,10,9,9,8,8,7,6,5,5
"Taiwan, China",TWN,Control of Corruption: Number of Sources,CC.NO.SRC,11,11,10,11,11,11,11,11,11,11,11,11,10
Tajikistan,TJK,Control of Corruption: Number of Sources,CC.NO.SRC,12,12,12,11,12,12,10,11,11,11,10,10,11
Tanzania,TZA,Control of Corruption: Number of Sources,CC.NO.SRC,13,13,14,15,15,16,16,15,15,15,15,15,15
Thailand,THA,Control of Corruption: Number of Sources,CC.NO.SRC,15,15,15,14,15,15,15,14,14,14,13,13,12
Timor-Leste,TLS,Control of Corruption: Number of Sources,CC.NO.SRC,8,8,9,8,8,8,8,7,6,6,5,6,6
Togo,TGO,Control of Corruption: Number of Sources,CC.NO.SRC,10,9,9,10,11,11,12,12,13,13,13,13,13
Tonga,TON,Control of Corruption: Number of Sources,CC.NO.SRC,3,3,4,4,4,4,4,3,4,4,4,4,4
Trinidad and Tobago,TTO,Control of Corruption: Number of Sources,CC.NO.SRC,8,7,7,8,8,9,9,8,9,9,7,9,9
Tunisia,TUN,Control of Corruption: Number of Sources,CC.NO.SRC,11,12,12,12,13,14,16,15,15,15,14,15,15
Turkey,TUR,Control of Corruption: Number of Sources,CC.NO.SRC,14,15,15,15,16,16,15,14,14,13,12,12,12
Turkmenistan,TKM,Control of Corruption: Number of Sources,CC.NO.SRC,6,6,6,6,6,7,7,7,7,7,7,6,7
Tuvalu,TUV,Control of Corruption: Number of Sources,CC.NO.SRC,2,2,2,2,3,3,3,3,3,3,3,3,3
Uganda,UGA,Control of Corruption: Number of Sources,CC.NO.SRC,14,15,15,15,16,16,16,15,15,15,15,15,15
Ukraine,UKR,Control of Corruption: Number of Sources,CC.NO.SRC,14,14,14,14,15,15,14,14,14,13,13,13,12
United Arab Emirates,ARE,Control of Corruption: Number of Sources,CC.NO.SRC,5,5,7,7,9,8,8,8,8,8,8,8,8
United Kingdom,GBR,Control of Corruption: Number of Sources,CC.NO.SRC,9,9,9,9,10,10,10,10,10,10,10,10,9
United States,USA,Control of Corruption: Number of Sources,CC.NO.SRC,12,12,12,12,13,13,12,12,12,11,11,11,11
Uruguay,URY,Control of Corruption: Number of Sources,CC.NO.SRC,12,10,12,12,12,14,14,14,14,14,13,14,13
Uzbekistan,UZB,Control of Corruption: Number of Sources,CC.NO.SRC,10,10,10,10,11,12,12,12,11,11,11,11,10
Vanuatu,VUT,Control of Corruption: Number of Sources,CC.NO.SRC,5,5,5,5,5,5,5,5,6,5,5,5,5
"Venezuela, RB",VEN,Control of Corruption: Number of Sources,CC.NO.SRC,15,15,16,16,17,17,16,15,15,15,14,13,13
Vietnam,VNM,Control of Corruption: Number of Sources,CC.NO.SRC,14,14,14,15,16,16,15,14,14,13,13,12,11
Virgin Islands (U.S.),VIR,Control of Corruption: Number of Sources,CC.NO.SRC,1,1,1,1,1,1,1,1,1,1,1,1,1
West Bank and Gaza,PSE,Control of Corruption: Number of Sources,CC.NO.SRC,4,4,5,6,6,6,5,5,5,5,5,4,5
"Yemen, Rep.",YEM,Control of Corruption: Number of Sources,CC.NO.SRC,11,11,11,12,13,12,11,10,9,10,10,9,9
Zambia,ZMB,Control of Corruption: Number of Sources,CC.NO.SRC,12,13,14,14,14,15,16,14,15,14,14,14,14
Zimbabwe,ZWE,Control of Corruption: Number of Sources,CC.NO.SRC,14,14,14,15,15,16,16,14,15,15,15,15,15
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data from database: Worldwide Governance Indicators,,,,,,,,,,,,,,,,
Last Updated: 09/28/2020,,,,,,,,,,,,,,,,
