Region_USAID,Year,Corruption Perception Index,Gni Growth (Annual %),"Intentional Homicides (Per 100,000 People)",Food Production Index (2004-2006 = 100),Claims On Central Government (Annual Growth As % Of Broad Money),"Foreign Direct Investment, Net Inflows (% Of Gdp)",Import Value Index (2000 = 100),"Inflation, Consumer Prices (Annual %)",Claims On Private Sector (Annual Growth As % Of Broad Money),"Inflation, Gdp Deflator: Linked Series (Annual %)",Broad Money Growth (Annual %),Import Volume Index (2000 = 100),Merchandise Imports From Low- And Middle-Income Economies Outside Region (% Of Total Merchandise Imports),Bank Liquid Reserves To Bank Assets Ratio (%),Total Tax And Contribution Rate (% Of Profit),Exports Of Goods And Services (% Of Gdp),Merchandise Imports From High-Income Economies (% Of Total Merchandise Imports),"Industry (Including Construction), Value Added (% Of Gdp)",Price Level Ratio Of Ppp Conversion Factor (Gdp) To Market Exchange Rate,Merchandise Exports To Low- And Middle-Income Economies Within Region (% Of Total Merchandise Exports),Merchandise Exports To Low- And Middle-Income Economies Outside Region (% Of Total Merchandise Exports)
Middle East and North Africa (MENA),2011,28.4,2.34039903,4.234597954,114.172,5.54097084,3.30930844,340.9846343,6.272157831,3.9066648,10.32015509,11.86041307,164.7814433,33.58029672,45.33768806,34.11388,43.46121179,55.44033088,31.98822194,0.463588829,10.84286091,27.93589728
Middle East and North Africa (MENA),2012,30.8,2.736846962,4.289644073,113.312,-5.287251636,3.638703863,445.77534,4.906545357,3.885637578,4.815747086,5.239632272,231.1683506,36.10389706,37.57921334,34.28,45.68092138,53.9165322,31.57358495,0.476774626,11.38226298,25.95404949
Middle East and North Africa (MENA),2013,28.2,3.440034863,4.509488431,118.662,3.792776297,2.921961323,486.1319253,3.202322681,3.173153478,0.573686716,9.277493059,256.4253864,36.57079196,34.38712032,34.4,42.2571863,53.57729168,31.12270888,0.478406473,13.71526037,25.21626534
Middle East and North Africa (MENA),2014,29.8,2.865475089,4.314148192,117.956,7.791325644,2.161792711,443.5155278,1.894974892,1.603773142,-2.806146952,2.297699172,231.5879908,37.74815532,30.40911887,34.48,37.89118273,53.19264877,30.91179958,0.474291114,12.35122181,24.49964523
Middle East and North Africa (MENA),2015,29.8,2.808001141,2.72541399,112.102,11.41958429,1.495614893,392.6662664,0.102703478,1.408511709,-7.513290303,4.340582839,227.6396096,39.92004225,31.17334276,34.6,34.062062,51.72999399,36.05906661,0.438350311,11.20362845,25.92654517
Middle East and North Africa (MENA),2016,28.8,2.278612753,2.660037852,107.186,10.17223074,1.497019487,331.2623074,0.447743559,1.767306347,-2.497490882,9.122471889,202.735712,40.00814446,29.82774606,34.26,29.99004362,51.91111439,36.48827892,0.437564226,10.99571727,25.68603153
Middle East and North Africa (MENA),2017,30.2,2.956833825,2.847848304,113.997588,2.287614339,1.920186159,364.5469448,2.827059052,2.138927295,6.872104741,5.514691101,216.5313325,40.33797674,28.65422608,34.32,36.42272352,51.37427636,37.65553183,0.446964556,10.33171659,26.83029322
Middle East and North Africa (MENA),2018,31,1.907931567,4.083283208,115.391372,-9.85064958,1.573051608,391.2322754,4.419661872,2.022247508,8.354596485,2.828833735,224.7412513,40.63312958,28.59296815,34.58,39.20431354,51.24751799,38.53198958,0.478608979,10.57401969,27.9820454
Middle East and North Africa (MENA),2019,31,1.161868523,3.050893836,116.54872,-1.170599291,1.664634357,399.3727534,1.300943361,2.518073129,0.837129378,5.720054279,240.882707,35.48868433,29.6378978,34,39.98995961,54.18875028,38.13822107,0.469749821,10.58081832,25.17597094
South and Central Asia (SCA),2007,22.85714286,7.431592393,6.130463073,108.1857143,1.45164812,3.788517495,285.317624,8.866322173,22.58425953,11.81450134,21.88602907,202.9122773,24.06144133,13.57489302,40.1354,24.97166435,38.43832219,27.51391942,0.294555736,34.26410656,14.51454941
South and Central Asia (SCA),2008,22.85714286,5.573941918,6.915189622,109.8442857,3.034941236,3.741174901,347.245008,17.80539978,14.9834712,17.96929414,27.11451929,212.6700929,26.22902021,15.16067242,40.9438,28.38387614,37.31479278,31.37103444,0.336268863,36.04624063,12.49586447
South and Central Asia (SCA),2009,22.85714286,6.652918927,6.066269869,114.9571429,-3.650595301,5.554744029,314.8763652,6.253879781,10.5087388,8.78682573,22.54637656,210.0517162,30.86269099,17.05654961,39.54905714,24.13890749,38.97516748,30.06630778,0.324149755,32.13853466,16.32488563
South and Central Asia (SCA),2010,22.85714286,6.378198324,5.345304427,115.3085714,-0.964318142,3.70342134,368.1885351,7.799183996,11.14027546,9.44339604,17.05744635,228.8058257,29.02537111,16.51073818,43.53994286,23.57235217,38.55464481,29.48655381,0.352829116,27.77502837,23.24277686
South and Central Asia (SCA),2011,23.57142857,6.457227992,5.392618742,121.6642857,2.35593605,3.228814987,459.1987038,10.24656874,12.08867521,13.16291669,22.98051993,248.7049735,30.1636959,20.88821157,43.54368571,26.73227436,35.24436002,30.50371857,0.390464274,28.93505689,24.33880369
South and Central Asia (SCA),2012,24.71428571,7.557481716,5.570836113,123.0685714,-0.835127956,2.739952043,532.4505485,7.204597669,10.58127915,7.42199698,15.23796045,295.531117,25.54578101,19.86882855,36.10888571,25.2985064,33.75236844,30.69680344,0.385084488,30.77778981,24.00705872
South and Central Asia (SCA),2013,24.85714286,7.162512878,5.260933035,128.2071429,0.029473697,2.245333346,541.2197811,6.893849724,8.57885424,6.061336873,14.63117262,306.6940425,24.12852196,19.639828,35.05254286,22.71544403,31.89075087,29.63035657,0.385810108,28.79677086,24.6456345
South and Central Asia (SCA),2014,25.57142857,6.569052594,4.968445423,128.0771429,-1.607993348,2.261348583,532.7359525,5.800871709,8.749587826,4.621715977,12.78540442,303.0908704,28.29213334,21.30689627,34.92977143,22.8056976,30.99651407,29.08204997,0.379728283,28.88010476,24.19763775
South and Central Asia (SCA),2015,25.14285714,5.869030019,4.907800767,128.3542857,1.040798313,2.296036841,465.6289952,4.216526127,8.011806909,2.098956791,16.37803584,291.9839376,32.26066525,24.09830025,34.89217143,18.84112421,32.77391879,28.10771485,0.356355269,27.58976745,24.783282
South and Central Asia (SCA),2016,27,3.79809199,3.977798897,132.0885714,0.622283483,3.256409857,449.3501507,6.294669259,8.803595229,4.432912002,14.01420758,287.9583332,34.4006862,26.9014033,36.6646,16.6132562,32.20682182,28.4535029,0.333566515,28.41424775,23.06464483
South and Central Asia (SCA),2017,27.71428571,5.91660638,4.177180168,132.0997314,0.598169961,1.782072046,514.1749191,5.183295127,7.916130929,5.546469626,9.386935687,314.1194575,33.86997975,28.50576448,44.02682857,16.38415921,31.95050229,28.58095729,0.343228766,28.10026571,24.98172075
South and Central Asia (SCA),2018,27.85714286,6.287615958,4.910496025,131.92966,-0.741912577,1.326092216,545.0333131,3.816572106,7.95637165,4.302734309,10.22460994,310.6675445,34.67348399,24.67531296,45.28285714,17.73567728,31.42220425,28.93859121,0.338355187,28.12116902,24.56887656
South and Central Asia (SCA),2019,28.42857143,6.126017671,4.698345821,132.1585657,1.224405792,1.352638116,523.9398328,5.138504853,6.845944383,4.477559193,9.909744753,321.069303,32.42410046,24.62333283,41.5484,19.04611063,34.14528307,29.17303455,0.321884531,28.2946012,23.24740884
Sub-Saharan Africa (SSA),2007,25.70588235,8.087311374,5.018601461,110.1752941,-37.8237538,5.265692778,291.7532923,9.646190482,15.04867745,9.560846855,24.76029436,203.7947052,24.03426093,20.53866187,65.88943529,35.11945136,48.1935634,21.47080301,0.402065574,23.37027181,17.77665985
Sub-Saharan Africa (SSA),2008,26.05882353,6.851094574,5.096408639,114.9870588,7.094641567,5.644910152,400.5655319,16.34813828,19.55625664,13.7355532,31.50449694,244.4857686,25.07684419,18.40988003,65.91523529,33.29113144,46.96934294,20.72847572,0.448021609,23.40567939,18.86163546
Sub-Saharan Africa (SSA),2009,26.64705882,4.915845254,5.216427713,124.8247059,7.204552328,4.525297264,356.6006099,9.296949651,12.18837284,6.225869078,20.98040666,239.3340063,27.1274837,19.08554135,64.97485882,29.7845205,46.18316225,19.14039553,0.419551431,26.79793148,18.80228381
Sub-Saharan Africa (SSA),2010,27.52941176,5.38622489,5.082930142,132.2570588,9.050946871,9.671996284,406.5252672,1.347480785,12.50794177,11.27792433,25.64712345,253.1517469,26.65142513,19.73435168,57.96207059,32.08694321,48.09540518,19.9142421,0.428991265,24.880528,18.73364304
Sub-Saharan Africa (SSA),2011,28.23529412,6.264341055,5.176108956,137.8564706,1.126432175,12.33472211,543.5230862,10.95606576,13.30852339,12.19985925,21.1978967,289.3645057,28.05011107,19.82687086,40.10829412,33.0081524,46.31324587,21.16287361,0.457190643,23.82374585,20.12610796
Sub-Saharan Africa (SSA),2012,32.82352941,6.117170069,5.605545513,140.3405882,2.951333544,11.22608505,598.8949038,10.43259913,10.10022975,9.872068173,17.16048925,323.9341351,30.12519013,20.81607814,39.21162353,35.09073339,45.40275443,21.88635789,0.46838278,27.10799176,24.03187001
Sub-Saharan Africa (SSA),2013,31.94117647,6.480573093,5.579478521,145.9858824,4.629002872,9.862455602,643.6717995,7.782892353,9.874956444,8.741051293,15.42123809,356.9332273,29.97416534,20.39619948,37.17647059,33.16336531,45.92805783,21.90478852,0.466647209,27.50822875,24.17078327
Sub-Saharan Africa (SSA),2014,31.52941176,5.682800342,5.607489546,143.8076471,4.088132456,6.057406578,663.1675032,6.967722745,10.52570711,6.328430526,13.97299063,376.023042,33.20844034,20.18669162,37.20588235,32.79763657,43.63143474,21.42965973,0.457691745,29.31637377,24.76323284
Sub-Saharan Africa (SSA),2015,31.41176471,3.273322672,6.163253408,143.5117647,6.656563286,5.410933457,611.3264621,6.062521349,10.22770036,7.634636261,16.4966754,388.4405857,35.06715293,19.54294789,38.2,28.50206519,43.05334291,19.69644254,0.422936527,25.52737333,23.14802972
Sub-Saharan Africa (SSA),2016,30.94117647,3.19219707,6.786784488,146.8411765,7.554833037,5.613925916,551.3072818,11.0878113,5.033741035,8.419755565,10.34815478,363.6279729,36.18959981,21.3963172,38.14117647,26.86206975,42.21164624,20.04420244,0.388785278,26.14282915,24.24638875
Sub-Saharan Africa (SSA),2017,30.52941176,4.40347175,5.774752501,144.1147953,8.339999752,3.914187437,573.6054031,11.35021979,4.213471896,8.632724589,12.16803429,362.2732508,36.98610983,23.73981258,38.15882353,31.75389409,42.71153617,20.87945969,0.399845551,23.48020147,28.22786678
Sub-Saharan Africa (SSA),2018,30.29411765,3.640685351,5.214486586,142.5732012,6.414304936,3.356443881,620.4274023,8.259431521,4.699880398,6.844695047,12.19263365,370.2784776,36.77795545,23.04603071,38.09411765,33.10796873,43.19238396,21.72786112,0.393327703,24.4190407,27.93984909
Sub-Saharan Africa (SSA),2019,30.70588235,5.19102785,5.093840325,143.2531824,6.118754148,5.838693324,575.0837107,7.867432755,7.295123061,6.284335479,14.43889451,342.5973525,36.10336058,24.14434362,40.31764706,33.07916171,44.06690723,21.95171171,0.381983557,25.19309565,23.99337601
