country,intervention_type
Cambodia,Enforcement
Cambodia,Transparency
Cambodia,Transparency
Cambodia,Transparency
Cambodia,Assessment
Cambodia,Participation
Cambodia,Accountability
Cambodia,Participation
Cambodia,Accountability
Cambodia,Accountability
Cambodia,Accountability
Cambodia,Awareness
Colombia,Transparency
Colombia,Awareness
Colombia,Accountability
Colombia,Transparency
Colombia,Awareness
Colombia,Participation
Colombia,Awareness
Colombia,Accountability
Colombia,Participation
Democratic Republic of Congo,Transparency
Democratic Republic of Congo,Transparency
Democratic Republic of Congo,Accountability
Democratic Republic of Congo,Accountability
Democratic Republic of Congo,Awareness
Democratic Republic of Congo,Awareness
Democratic Republic of Congo,Participation
Democratic Republic of Congo,Participation
Djibouti,Transparency
Djibouti,Accountability
Djibouti,Awareness
Dominican Republic,Enforcement
Dominican Republic,Transparency
Dominican Republic,Transparency
Dominican Republic,Transparency
Dominican Republic,Transparency
Dominican Republic,Accountability
Dominican Republic,Transparency
Dominican Republic,Transparency
Dominican Republic,Awareness
Dominican Republic,Accountability
Dominican Republic,Accountability
Dominican Republic,Accountability
Dominican Republic,Accountability
Dominican Republic,Accountability
East Timor,Transparency
East Timor,Assessment
East Timor,Awareness
East Timor,Accountability
East Timor,Assessment
East Timor,Transparency
East Timor,Accountability
East Timor,Participation
East Timor,Participation
East Timor,Awareness
East Timor,Participation
East Timor,Participation
Ecuador,Transparency
Ecuador,Transparency
Ecuador,Transparency
Ecuador,Accountability
Ecuador,Awareness
Ecuador,Accountability
Ecuador,Awareness
Egypt,Accountability
Egypt,Accountability
Egypt,Enforcement
Egypt,Transparency
Egypt,Participation
Egypt,Transparency
Egypt,Transparency
Egypt,Transparency
Egypt,Transparency
Egypt,Participation
Egypt,Participation
Egypt,Accountability
Egypt,Awareness
Egypt,Accountability
Egypt,Accountability
Egypt,Participation
Egypt,Participation
El Salvador,Transparency
El Salvador,Transparency
El Salvador,Enforcement
El Salvador,Transparency
El Salvador,Accountability
El Salvador,Accountability
El Salvador,Awareness
El Salvador,Accountability
El Salvador,Awareness
El Salvador,Awareness
El Salvador,Participation
El Salvador,Participation
Ethiopia,Transparency
Ethiopia,Accountability
Ethiopia,Participation
Georgia,Transparency
Georgia,Accountability
Georgia,Transparency
Georgia,Transparency
Georgia,Accountability
Georgia,Awareness
Georgia,Accountability
Georgia,Awareness
Ghana,Transparency
Ghana,Accountability
Guatemala,Transparency
Guatemala,Transparency
Guatemala,Transparency
Guatemala,Accountability
Guatemala,Transparency
Guatemala,Accountability
Guatemala,Accountability
Guatemala,Accountability
Guatemala,Participation
Guatemala,Awareness
Guatemala,Awareness
Guatemala,Participation
Guinea,Transparency
Guyana,Transparency
Guyana,Transparency
Guyana,Awareness
Guyana,Accountability
Guyana,Participation
Guyana,Awareness
Haiti,Transparency
Haiti,Awareness
Honduras,Transparency
Honduras,Transparency
Honduras,Assessment
Honduras,Awareness
Honduras,Accountability
Honduras,Participation
Indonesia,Transparency
Indonesia,Transparency
Indonesia,Transparency
Indonesia,Transparency
Indonesia,Assessment
Indonesia,Enforcement
Indonesia,Transparency
Indonesia,Enforcement
Indonesia,Transparency
Indonesia,Transparency
Indonesia,Assessment
Indonesia,Accountability
Indonesia,Transparency
Indonesia,Assessment
Indonesia,Transparency
Indonesia,Participation
Indonesia,Transparency
Indonesia,Accountability
Indonesia,Accountability
Indonesia,Awareness
Indonesia,Accountability
Indonesia,Accountability
Indonesia,Accountability
Indonesia,Transparency
Indonesia,Accountability
Indonesia,Accountability
Indonesia,Awareness
Indonesia,Accountability
Indonesia,Accountability
Indonesia,Accountability
Indonesia,Accountability
Indonesia,Participation
Indonesia,Awareness
Iraq,Enforcement
Iraq,Awareness
Iraq,Transparency
Iraq,Enforcement
Iraq,Transparency
Iraq,Awareness
Iraq,Transparency
Iraq,Transparency
Iraq,Awareness
Iraq,Participation
Iraq,Accountability
Iraq,Transparency
Iraq,Awareness
Iraq,Participation
Iraq,Accountability
Iraq,Accountability
Iraq,Accountability
Iraq,Participation
Jamaica,Enforcement
Jamaica,Participation
Jordan,Transparency
Jordan,Transparency
Jordan,Awareness
Jordan,Accountability
Jordan,Accountability
Jordan,Transparency
Jordan,Transparency
Jordan,Accountability
Jordan,Accountability
Jordan,Participation
Jordan,Participation
Jordan,Accountability
Jordan,Participation
Jordan,Participation
Kazakhstan,Transparency
Kazakhstan,Transparency
Kazakhstan,Transparency
Kazakhstan,Transparency
Kazakhstan,Accountability
Kazakhstan,Accountability
Kazakhstan,Accountability
Kazakhstan,Participation
Kazakhstan,Awareness
Kenya,Enforcement
Kenya,Accountability
Kenya,Accountability
Kenya,Accountability
Kenya,Accountability
Kenya,Participation
Kenya,Transparency
Kosovo,Enforcement
Kosovo,Enforcement
Kosovo,Enforcement
Kosovo,Accountability
Kosovo,Enforcement
Kosovo,Transparency
Kosovo,Transparency
Kosovo,Transparency
Kosovo,Accountability
Kosovo,Transparency
Kosovo,Accountability
Kyrgyzstan,Transparency
Kyrgyzstan,Transparency
Kyrgyzstan,Transparency
Kyrgyzstan,Enforcement
Kyrgyzstan,Awareness
Kyrgyzstan,Awareness
Kyrgyzstan,Awareness
Kyrgyzstan,Accountability
Kyrgyzstan,Accountability
Kyrgyzstan,Accountability
Kyrgyzstan,Transparency
Kyrgyzstan,Participation
Kyrgyzstan,Participation
Kyrgyzstan,Participation
Kyrgyzstan,Participation
Kyrgyzstan,Accountability
"Kyrgyzstan, Kazakhstan, Tajikistan",Awareness
"Kyrgyzstan, Kazakhstan, Tajikistan",Participation
"Kyrgyzstan, Kazakhstan, Tajikistan, Uzbekistan, Turkmenistan",Assessment
Laos,Accountability
Laos,Participation
Lebanon,Transparency
Lebanon,Participation
Lebanon,Transparency
Lebanon,Transparency
Lebanon,Transparency
Lebanon,Accountability
Lebanon,Accountability
Lebanon,Participation
Liberia,Awareness
Liberia,Transparency
Liberia,Awareness
Liberia,Participation
Liberia,Accountability
Liberia,Participation
Libya,Enforcement
Libya,Awareness
Macedonia,Enforcement
Macedonia,Awareness
Macedonia,Transparency
Macedonia,Transparency
Macedonia,Accountability
Macedonia,Enforcement
Macedonia,Enforcement
Macedonia,Accountability
Macedonia,Transparency
Macedonia,Accountability
Macedonia,Awareness
Macedonia,Transparency
Macedonia,Awareness
Macedonia,Accountability
Madagascar,Enforcement
Madagascar,Transparency
Madagascar,Participation
Madagascar,Awareness
Malawi,Transparency
Malawi,Accountability
Malawi,Participation
Mali,Accountability
Mexico,Transparency
Mexico,Transparency
Mexico,Accountability
Mexico,Accountability
Mexico,Awareness
Moldova,Transparency
Moldova,Accountability
Moldova,Accountability
Moldova,Transparency
Moldova,Transparency
Moldova,Accountability
Moldova,Enforcement
Moldova,Participation
Moldova,Accountability
Moldova,Transparency
Moldova,Awareness
Mongolia,Transparency
Mongolia,Participation
Mongolia,Participation
Mongolia,Accountability
Mongolia,Transparency
Mongolia,Transparency
Mongolia,Enforcement
Mongolia,Transparency
Mongolia,Accountability
Mongolia,Awareness
Mongolia,Enforcement
Mongolia,Accountability
Mongolia,Accountability
Mongolia,Transparency
Mongolia,Accountability
Mongolia,Participation
Mongolia,Awareness
Mongolia,Participation
Montenegro,Assessment
Montenegro,Transparency
Montenegro,Transparency
Montenegro,Accountability
Montenegro,Participation
Montenegro,Participation
Morocco,Transparency
Morocco,Accountability
Morocco,Transparency
Morocco,Transparency
Morocco,Transparency
Morocco,Assessment
Morocco,Awareness
Morocco,Participation
Morocco,Participation
Mozambique,Accountability
Mozambique,Awareness
Mozambique,Participation
Multiple,Study
Multiple,Transparency
Multiple,Transparency
Multiple,Awareness
Multiple,Awareness
Multiple,Accountability
Multiple,Participation
Multiple,Awareness
Multiple,Participation
Nepal,Participation
Nepal,Transparency
Nepal,Accountability
Nepal,Awareness
Nepal,Accountability
Nepal,Participation
Nepal,Awareness
Nepal,Participation
Nicaragua,Transparency
Nicaragua,Transparency
Nicaragua,Awareness
Nicaragua,Participation
Nicaragua,Awareness
Nicaragua,Participation
Nicaragua,Accountability
Nicaragua,Participation
Nicaragua,Participation
Nicaragua,Awareness
Nigeria,Transparency
Nigeria,Assessment
Nigeria,Awareness
Nigeria,Transparency
Nigeria,Accountability
Nigeria,Participation
Nigeria,Accountability
Pakistan,Awareness
Pakistan,Awareness
Pakistan,Awareness
Pakistan,Awareness
Pakistan,Transparency
Pakistan,Participation
Pakistan,Participation
Pakistan,Participation
Pakistan,Accountability
Panama,Enforcement
Panama,Accountability
Panama,Transparency
Paraguay,Transparency
Paraguay,Transparency
Paraguay,Transparency
Paraguay,Transparency
Paraguay,Accountability
Paraguay,Accountability
Paraguay,Accountability
Paraguay,Accountability
Paraguay,Participation
Paraguay,Participation
Paraguay,Awareness
Peru,Transparency
Peru,Accountability
Peru,Enforcement
Peru,Transparency
Peru,Accountability
Peru,Accountability
Peru,Participation
Peru,Participation
Peru,Accountability
Peru,Participation
Philippines,Enforcement
Philippines,Accountability
Philippines,Transparency
Philippines,Enforcement
Philippines,Transparency
Philippines,Enforcement
Philippines,Awareness
Philippines,Transparency
Philippines,Accountability
Philippines,Transparency
Philippines,Transparency
Philippines,Awareness
Philippines,Transparency
Philippines,Enforcement
Philippines,Accountability
Philippines,Transparency
Philippines,Accountability
Philippines,Participation
Philippines,Participation
Philippines,Accountability
Philippines,Awareness
Philippines,Accountability
Philippines,Accountability
Philippines,Participation
Philippines,Accountability
Philippines,Accountability
Philippines,Awareness
Philippines,Awareness
Philippines,Participation
Russia,Accountability
Russia,Participation
Russia,Awareness
Russia,Transparency
Russia,Transparency
Russia,Participation
Russia,Awareness
Russia,Participation
Russia,Accountability
Russia,Accountability
Russia,Accountability
Russia,Participation
Rwanda,Assessment
SENEGAL,Assessment
Serbia,Transparency
Serbia,Transparency
Serbia,Enforcement
Serbia,Transparency
Serbia,Transparency
Serbia,Awareness
Serbia,Accountability
Serbia,Accountability
Serbia,Participation
Sierra Leone,Awareness
Sierra Leone,Awareness
Sierra Leone,Participation
Sierra Leone,Participation
Sri Lanka,Transparency
Sri Lanka,Transparency
Sri Lanka,Transparency
Sri Lanka,Participation
Sri Lanka,Accountability
Sri Lanka,Participation
Sri Lanka,Awareness
Thailand,Awareness
Thailand,Participation
Turkmenistan,Transparency
Turkmenistan,Accountability
Uganda,Enforcement
Uganda,Transparency
Uganda,Participation
Uganda,Accountability
Ukraine,Enforcement
Ukraine,Transparency
Ukraine,Accountability
Ukraine,Awareness
Ukraine,Accountability
Ukraine,Transparency
Ukraine,Enforcement
Ukraine,Transparency
Ukraine,Accountability
Ukraine,Accountability
Ukraine,Transparency
Ukraine,Participation
Ukraine,Transparency
Ukraine,Accountability
Ukraine,Accountability
Ukraine,Participation
Ukraine,Awareness
Vietnam,Transparency
Vietnam,Transparency
Vietnam,Awareness
West Bank and Gaza,Transparency
West Bank and Gaza,Participation
West Bank and Gaza,Transparency
West Bank and Gaza,Transparency
West Bank and Gaza,Participation
West Bank and Gaza,Awareness
West Bank and Gaza,Transparency
West Bank and Gaza,Transparency
West Bank and Gaza,Awareness
West Bank and Gaza,Transparency
West Bank and Gaza,Participation
West Bank and Gaza,Accountability
West Bank and Gaza,Accountability
West Bank and Gaza,Participation
West Bank and Gaza,Accountability
West Bank and Gaza,Accountability
West Bank and Gaza,Participation
West Bank and Gaza,Accountability
West Bank and Gaza,Awareness
West Bank and Gaza,Awareness
West Bank and Gaza,Participation
West Bank and Gaza,Participation
Yemen,Enforcement
Yemen,Transparency
Yemen,Accountability
Yemen,Citizen/Media/Business Engagement/Participation
Yemen,Accountability
Yemen,Awareness
Yemen,Participation
Zambia,Transparency
Zambia,Transparency
Zambia,Participation
Zambia,Accountability
Zambia,Awareness
Zambia,Participation
