,country,duration_mean,duration_min,duration_max,duration_median,topic0_mean,topic0_min,topic0_max,topic0_median,topic1_mean,topic1_min,topic1_max,topic1_median,topic2_mean,topic2_min,topic2_max,topic2_median,topic3_mean,topic3_min,topic3_max,topic3_median,topic4_mean,topic4_min,dominant_topic,topic4_median,dominant_topic_4_count,dominant_topic_3_count,dominant_topic_2_count,dominant_topic_1_count,dominant_topic_0_count,max_count_topic_categories,Independent_Agencies_count,Rule_of_Law_count,Elections_and_Political_Processes_count,Local_Government_count,Legislature_count,Economic_Governance_count,Disaster_Recovery_count,Economic_Growth_count,Media_count,Civil_Society_count,Agriculture_and_Food_Security_count,Governance_count,Healthcare_count,Public_Finance_count,Environment_count,Private_Sector_count,Democracy_and_Governance_count,Gender_Equality_count,Natural_Resource_count,Education_count,max_count_sector_categories
12,Democratic Republic of Congo,4.5,4,5,4.5,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.45,0.04,0.86,0.45,0.445,0.04,0.85,0.445,1.0,3.0,0.0,0.0,0.0,dominant_topic_3_count,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_countLocal_Government_count
13,Djibouti,2.0,2,2,2.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.88,0.88,0.88,0.88,1.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Independent_Agencies_count
14,Dominican Republic,3.7142857142857135,2,6,4.0,0.03714285714285714,0.03,0.05,0.04,0.04857142857142858,0.03,0.1,0.04,0.03714285714285714,0.03,0.05,0.04,0.3185714285714286,0.03,0.78,0.07,0.5542857142857144,0.06,0.87,0.77,4.0,3.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_count
15,East Timor,3.5,0,10,2.0,0.03833333333333334,0.03,0.05,0.04,0.03833333333333334,0.03,0.05,0.04,0.06,0.03,0.14,0.045,0.08333333333333333,0.03,0.16,0.07500000000000001,0.7866666666666667,0.66,0.86,0.8,6.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_count
16,Ecuador,3.6666666666666665,3,5,3.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.88,0.87,0.89,0.88,3.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Local_Government_count
17,Egypt,5.222222222222221,4,8,5.0,0.031111111111111117,0.03,0.04,0.03,0.031111111111111117,0.03,0.04,0.03,0.031111111111111117,0.03,0.04,0.03,0.5855555555555555,0.03,0.89,0.83,0.31666666666666665,0.03,0.87,0.04,3.0,3.0,0.0,0.0,0.0,dominant_topic_4_countdominant_topic_3_count,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,Economic_Growth_count
18,El Salvador,4.5,4,5,4.5,0.035,0.03,0.04,0.035,0.065,0.03,0.16,0.035,0.035,0.03,0.04,0.035,0.035,0.03,0.04,0.035,0.8275,0.73,0.87,0.855,4.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_count
19,Ethiopia,5.0,5,5,5.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.85,0.85,0.85,0.85,1.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Local_Government_count
20,Georgia,3.75,3,4,4.0,0.0375,0.03,0.04,0.04,0.05,0.03,0.09,0.04,0.0375,0.03,0.04,0.04,0.635,0.03,0.86,0.825,0.255,0.04,0.9,0.04,1.0,3.0,0.0,0.0,0.0,dominant_topic_3_count,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_count
21,Ghana,3.0,3,3,3.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.83,0.83,0.83,0.83,1.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Local_Government_count
22,Guatemala,3.8,3,4,4.0,0.038,0.03,0.04,0.04,0.038,0.03,0.04,0.04,0.038,0.03,0.04,0.04,0.196,0.03,0.83,0.04,0.696,0.04,0.88,0.85,4.0,3.0,0.0,0.0,0.0,dominant_topic_4_count,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_countLocal_Government_count
23,Guinea,1.0,1,1,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.74,0.74,0.74,0.74,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.0,2.0,0.0,0.0,dominant_topic_2_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Economic_Growth_count
24,Guyana,3.0,2,4,3.0,0.03,0.03,0.03,0.03,0.055,0.03,0.08,0.055,0.03,0.03,0.03,0.03,0.045,0.03,0.06,0.045,0.83,0.82,0.84,0.83,2.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_countPublic_Finance_count
25,Haiti,4.0,4,4,4.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.87,0.87,0.87,0.87,1.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Local_Government_count
26,Honduras,2.6666666666666665,0,5,3.0,0.04,0.03,0.06,0.03,0.04,0.03,0.06,0.03,0.26666666666666666,0.03,0.74,0.03,0.32666666666666666,0.03,0.88,0.07,0.32666666666666666,0.03,0.88,0.07,1.0,3.0,2.0,0.0,0.0,dominant_topic_3_count,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_countLocal_Government_countGovernance_count
27,Indonesia,3.117647058823529,0,6,4.0,0.03588235294117647,0.03,0.05,0.03,0.04411764705882354,0.03,0.18,0.03,0.04882352941176472,0.03,0.15,0.04,0.2958823529411765,0.03,0.86,0.09,0.5758823529411765,0.04,0.89,0.75,12.0,3.0,0.0,0.0,0.0,dominant_topic_4_count,1.0,6.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Rule_of_Law_count
28,Iraq,3.625,2,5,3.5,0.03125,0.03,0.04,0.03,0.03125,0.03,0.04,0.03,0.03125,0.03,0.04,0.03,0.14875000000000002,0.03,0.87,0.035,0.7575,0.03,0.89,0.87,7.0,3.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Local_Government_count
29,Jamaica,6.0,6,6,6.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.85,0.85,0.85,0.85,1.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Independent_Agencies_count
30,Jordan,3.7142857142857135,2,5,4.0,0.03428571428571429,0.03,0.04,0.03,0.04571428571428572,0.03,0.12,0.03,0.03428571428571429,0.03,0.04,0.03,0.4428571428571429,0.03,0.89,0.42,0.4428571428571429,0.03,0.9,0.47,4.0,3.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_countPublic_Finance_count
31,Kazakhstan,3.75,2,5,4.0,0.037500000000000006,0.03,0.05,0.035,0.037500000000000006,0.03,0.05,0.035,0.037500000000000006,0.03,0.05,0.035,0.7925,0.66,0.87,0.8200000000000001,0.0925,0.03,0.25,0.045,0.0,3.0,0.0,0.0,0.0,dominant_topic_3_count,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_count
32,Kenya,2.75,2,4,2.5,0.04,0.03,0.05,0.04,0.1125,0.04,0.27,0.07,0.05,0.04,0.07,0.045,0.2425,0.03,0.84,0.05,0.5525,0.04,0.8,0.685,3.0,3.0,0.0,0.0,0.0,dominant_topic_4_countdominant_topic_3_count,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Public_Finance_count
33,Kosovo,3.1666666666666665,3,4,3.0,0.03333333333333333,0.03,0.04,0.03,0.03333333333333333,0.03,0.04,0.03,0.03333333333333333,0.03,0.04,0.03,0.3266666666666666,0.03,0.89,0.09,0.575,0.03,0.88,0.815,4.0,3.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Local_Government_count
34,Kyrgyzstan,3.4285714285714284,2,9,3.0,0.03714285714285714,0.03,0.04,0.04,0.03714285714285714,0.03,0.04,0.04,0.03714285714285714,0.03,0.04,0.04,0.33,0.03,0.87,0.04,0.557142857142857,0.03,0.88,0.84,4.0,3.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_count
35,"Kyrgyzstan, Kazakhstan, Tajikistan",5.0,5,5,5.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.0,3.0,0.0,0.0,0.0,dominant_topic_3_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Private_Sector_count
36,"Kyrgyzstan, Kazakhstan, Tajikistan, Uzbekistan, Turkmenistan",0.0,0,0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.09,0.09,0.09,0.09,0.04,0.04,0.04,0.04,0.8,0.8,0.8,0.8,1.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Gender_Equality_count
37,Laos,4.0,4,4,4.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.62,0.62,0.62,0.62,0.29,0.29,0.29,0.29,0.0,3.0,0.0,0.0,0.0,dominant_topic_3_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Economic_Growth_count
38,Lebanon,4.714285714285714,2,10,3.0,0.03571428571428571,0.03,0.05,0.03,0.03571428571428571,0.03,0.05,0.03,0.04,0.03,0.06,0.04,0.2542857142857143,0.03,0.84,0.03,0.6342857142857143,0.04,0.89,0.85,5.0,3.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Local_Government_count
39,Liberia,3.6666666666666665,2,5,4.0,0.04,0.03,0.05,0.04,0.04,0.03,0.05,0.04,0.04,0.03,0.05,0.04,0.04666666666666667,0.04,0.05,0.05,0.84,0.81,0.87,0.84,3.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Economic_Growth_count
40,Libya,0.0,0,0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.61,0.61,0.61,0.61,0.26,0.26,0.26,0.26,0.0,3.0,0.0,0.0,0.0,dominant_topic_3_count,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_count
41,Macedonia,4.142857142857143,3,6,4.0,0.03428571428571429,0.03,0.04,0.03,0.038571428571428576,0.03,0.07,0.03,0.038571428571428576,0.03,0.06,0.04,0.35428571428571426,0.03,0.87,0.04,0.5342857142857143,0.03,0.88,0.82,4.0,3.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_countLocal_Government_count
42,Madagascar,2.0,2,2,2.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.85,0.85,0.85,0.85,1.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Independent_Agencies_count
43,Malawi,2.0,2,2,2.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.84,0.84,0.84,0.84,1.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Governance_count
44,Mali,5.0,5,5,5.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.89,0.89,0.89,0.89,1.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Local_Government_count
45,Mexico,5.0,5,5,5.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.16499999999999998,0.04,0.29,0.16499999999999998,0.71,0.59,0.83,0.71,2.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_countLocal_Government_count
46,Moldova,3.1428571428571432,1,5,4.0,0.032857142857142856,0.03,0.04,0.03,0.05,0.03,0.11,0.04,0.032857142857142856,0.03,0.04,0.03,0.3742857142857142,0.03,0.83,0.42,0.5085714285714286,0.03,0.88,0.46,4.0,3.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_countEconomic_Growth_count
47,Mongolia,4.75,0,9,5.5,0.03375,0.03,0.04,0.03,0.03375,0.03,0.04,0.03,0.035,0.03,0.04,0.035,0.24,0.03,0.86,0.04,0.65625,0.04,0.89,0.85,6.0,3.0,0.0,0.0,0.0,dominant_topic_4_count,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Independent_Agencies_countRule_of_Law_countLocal_Government_countEconomic_Growth_countMedia_countCivil_Society_countGovernance_countPrivate_Sector_count
48,Montenegro,2.6666666666666665,1,4,3.0,0.03333333333333333,0.03,0.04,0.03,0.03333333333333333,0.03,0.04,0.03,0.11000000000000004,0.03,0.27,0.03,0.3466666666666667,0.04,0.87,0.13,0.47,0.03,0.78,0.6,2.0,3.0,0.0,0.0,0.0,dominant_topic_3_count,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Governance_count
49,Morocco,3.5,0,5,4.0,0.043333333333333335,0.03,0.08,0.04,0.043333333333333335,0.03,0.08,0.04,0.14,0.03,0.66,0.04,0.4516666666666666,0.03,0.85,0.465,0.325,0.04,0.87,0.065,2.0,3.0,2.0,0.0,0.0,dominant_topic_3_count,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Local_Government_countEconomic_Growth_count
50,Mozambique,3.0,3,3,3.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.89,0.89,0.89,0.89,1.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Local_Government_count
51,Multiple,3.75,0,6,4.5,0.045000000000000005,0.03,0.07,0.04,0.045000000000000005,0.03,0.07,0.04,0.0975,0.03,0.25,0.055000000000000014,0.0475,0.03,0.07,0.045,0.7599999999999999,0.61,0.86,0.7849999999999999,4.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_countEconomic_Growth_countCivil_Society_countHealthcare_count
52,Nepal,3.0,3,3,3.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.20333333333333334,0.03,0.55,0.03,0.7066666666666667,0.37,0.88,0.87,2.0,3.0,0.0,0.0,0.0,dominant_topic_3_count,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rule_of_Law_countLocal_Government_countCivil_Society_count
53,Nicaragua,3.2,2,4,3.0,0.038,0.03,0.04,0.04,0.038,0.03,0.04,0.04,0.052000000000000005,0.04,0.1,0.04,0.196,0.03,0.83,0.04,0.682,0.04,0.86,0.84,4.0,3.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Civil_Society_count
54,Nigeria,3.25,1,5,3.5,0.037500000000000006,0.03,0.05,0.035,0.0425,0.03,0.05,0.045,0.05,0.03,0.08,0.045,0.037500000000000006,0.03,0.05,0.035,0.83,0.8,0.87,0.825,4.0,0.0,0.0,0.0,0.0,dominant_topic_4_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Agriculture_and_Food_Security_countGovernance_countPublic_Finance_countDemocracy_and_Governance_count
