,0,1,2
23,2020-11-04 07:41:56,1323893227779403777,If Trump wins... nothing will stop him &amp; his corruption... Will be much worse than it ever was...
24,2020-11-04 07:41:56,1323893227729158144,"#ElectionDay/ I hope @JoeBiden wins this election. First, he'll help a lot the USA (also the world) and Kosovo too… https://t.co/dKX4tvcZRs"
25,2020-11-04 07:41:56,1323893224663109633,"RT @_Hamzii1: #شانداربیٹنگ_میرےکپتان

 I want to say that Imran Khan is the leader who can bring out Pakistan from corruption, terrorism an…"
26,2020-11-04 07:41:56,1323893224457576449,Le cartel mondialiste appuyé par des médias à la corruption à peine voilée tente en ces minutes mêmes LA plus gross… https://t.co/OOaIGhClFl
27,2020-11-04 07:41:55,1323893221349609472,@seanhannity She’s evil we’re getting very tired of this corruption we’re headed for a civil war In this country
28,2020-11-04 07:41:55,1323893220858736640,"True. Pag EJKs, Red tagging, corruption, etc., na oppressed ang mga tao, tahimik sila pero kapag Equal Rights na ma… https://t.co/nZ1FW4lOKV"
29,2020-11-04 07:41:50,1323893201439092738,"RT @vinay1011: All the three parties that are ruling Maharashtra have three things in common! They are dynastic parties, many of their lead…"
30,2020-11-04 07:41:50,1323893200180883461,"@JuliansRum Trump has set things up perfectly.  Discredited every MSM new outlet.   It’s genius.  He will win, just… https://t.co/r2AhCidUaz"
31,2020-11-04 07:41:50,1323893199488786438,"RT @MichaelJStern1: Whatever happens, I will never get over the fact that half my country has spent 4 years watching Trump's corruption, bi…"
32,2020-11-04 07:41:49,1323893198691979270,"RT @Frank_Schaeffer: Tonight returns prove again that millions of White evangelicals are not turned off by corruption, cruelty, criminality…"
33,2020-11-04 07:41:47,1323893190340960256,RT @FrozenArctic: It really shouldn't be this close. And it's scary because that number reflects all the people who believe and support Tru…
34,2020-11-04 07:41:45,1323893179200856065,"RT @alexpiscatelli: if prop 22 passes, and it's not looking good, then misinformation and corruption have won. uber, lyft and the other com…"
35,2020-11-04 07:41:44,1323893177380687873,"What's awful for the UK is that MPs in our governing party actively support Trump and excuse his lies, hatred and corruption."
36,2020-11-04 07:41:44,1323893175749025793,"RT @vinay1011: All the three parties that are ruling Maharashtra have three things in common! They are dynastic parties, many of their lead…"
37,2020-11-04 07:41:44,1323893175140929536,"RT @HermanMashaba: When the NPA refuses to take ACTION against corruption, it is up to us to hold the criminal to account. 

That is why we…"
38,2020-11-04 07:41:44,1323893174650114048,"RT @vinay1011: All the three parties that are ruling Maharashtra have three things in common! They are dynastic parties, many of their lead…"
39,2020-11-04 07:41:43,1323893171462434816,"RT @MohdUmair00786: My dear biharis,You people have seen the BJP's work.What have you done in these 15 years

Neither gave employment to yo…"
40,2020-11-04 07:41:42,1323893166404153344,RT @DrJasonJohnson: Y'all these ballots may literally be the difference in several swing states. Trump's corruption of the electoral proces…
41,2020-11-04 07:41:42,1323893166152552450,@RealKyleMorris @TrumpStudents Look at this Corruption. https://t.co/gAYs42zh1i
42,2020-11-04 07:41:40,1323893157252239360,RT @MarleneLapierre: I'm really disappointed that the citizens of Illinois gave their electoral votes to Biden.  I was hoping they had tire…
43,2020-11-04 07:41:39,1323893156732051457,"RT @gorgeousdunny1: Kate is one of Australia's foremost investigative reporters on matters of corruption and impropriety. 
If she calls it…"
44,2020-11-04 07:41:39,1323893152730746880,"RT @paulsperry_: The wildly pro-Biden polls were indeed ""suppression polls""

The spiking of the NY Post's bombshell story on Biden corrupti…"
45,2020-11-04 07:41:38,1323893149526315009,"RT @BarristerSecret: Hard to think of a political decision in recent history where there was so obviously a right and wrong choice.

Racism…"
46,2020-11-04 07:41:37,1323893147580145666,@DianaHenryFood I see little difference in the wild corruption and dictatorships here to over there. The lies!
47,2020-11-04 07:41:35,1323893140055420929,"RT @LairdBarron: I fully admit to hoping--expecting--that a substantial majority of this country would step forward to repudiate cruelty, i…"
48,2020-11-04 07:41:35,1323893136733704192,"@JoyNewsOnTV You too u can talk about corrupt officials, who is government official 1. U yourself u are corrupt, be… https://t.co/P63hxLO4xI"
49,2020-11-04 07:41:35,1323893135999594496,"RT @DJJenkins: So much corruption, my goodness.

I’ve been saying this was dangerous for our democracy for months since he’s never said he’…"
50,2020-11-04 07:41:35,1323893135987146755,"RT @OkoaUchumi_KE: Kenya’s debt has hit unsustainable levels forcing the government into panic borrowing.
#OkoaUchumi coalition has raised…"
51,2020-11-04 07:41:34,1323893134732873730,@aajtak Khus to bht hoge aj tum? Koi bat nhi karo party jhut jyda time nhi tikta waqt ayega tumhara jaldi hi tumhar… https://t.co/gHVzv8DpY7
52,2020-11-04 07:41:34,1323893133923463168,@MsweliTeddy @SkotchKiLLer @TimesLIVE I'm not pro anything that involves the ANC. The best thing they can do for us… https://t.co/xxHCUFbY10
53,2020-11-04 07:41:34,1323893131968978951,@FoxNews Trump is the WINNER the numerical path is clear. This MEDIA communication is horrible . I hope that during… https://t.co/gfPsced07k
54,2020-11-04 07:41:31,1323893119524417542,"RT @MichaelJStern1: Whatever happens, I will never get over the fact that half my country has spent 4 years watching Trump's corruption, bi…"
55,2020-11-04 07:41:31,1323893119293804545,"RT @paulsperry_: The wildly pro-Biden polls were indeed ""suppression polls""

The spiking of the NY Post's bombshell story on Biden corrupti…"
56,2020-11-04 07:41:30,1323893116416462849,"Donald Trump hasn’t won the election, and not only is this a politically idiotic position for the President to take… https://t.co/VeUED4rm4T"
57,2020-11-04 07:41:29,1323893114570907648,"RT @MattyCanada: @donwinslow The values of bigotry, racism  corruption,  greed  misogyny and fascism have spoken loudly"
58,2020-11-04 07:41:28,1323893109495865345,"RT @GypsyDraven: Trump just confirmed what we all knew and feared!

Many State's completely stopped counting ballots the minute they knew t…"
59,2020-11-04 07:41:28,1323893108996743168,"RT @MichaelJStern1: Whatever happens, I will never get over the fact that half my country has spent 4 years watching Trump's corruption, bi…"
60,2020-11-04 07:41:28,1323893107365191681,"RT @BeaumontDMD: I fully understand Trump's feelings on postal votes.......they open the political system to all sorts of corruption.

If y…"
61,2020-11-04 07:41:26,1323893101925146624,Here we fucken go..... this #ElectionNight  has turned into shit. It’s not difficult to count the votes in 1 damn d… https://t.co/Mgl6URtfhD
62,2020-11-04 07:41:26,1323893098460651526,RT @TomFitton: Corruption update....
63,2020-11-04 07:41:25,1323893097827241986,RT @sanjukta: @PrakashJavdekar @PIB_India @DDNewslive @republic What are u condemning? Are certain crime accused above law because they are…
64,2020-11-04 07:41:25,1323893094794711041,@realDonaldTrump Amen Mr. President. Sad that the corruption is so strong to unfairly and childishly halt your Victory.
65,2020-11-04 07:41:24,1323893091691102210,"RT @YomYom_: I used to think our problem was ‘Corruption’ 

Later on, i felt it was “Religion” 

At some point, it struck me like it was “T…"
66,2020-11-04 07:41:23,1323893087937077252,"RT @vinay1011: All the three parties that are ruling Maharashtra have three things in common! They are dynastic parties, many of their lead…"
67,2020-11-04 07:41:22,1323893084611031040,"RT @MichaelJStern1: Whatever happens, I will never get over the fact that half my country has spent 4 years watching Trump's corruption, bi…"
68,2020-11-04 07:41:22,1323893082736177152,"The Democrats are creating the biggest voter fraud in US history.
The election personnel in certain states are in o… https://t.co/iCdpTuoTSA"
69,2020-11-04 07:41:18,1323893067569598464,RT @TundeTASH: The camera at Lekki on the day of #LekkiMassaccre stopped working at 8:00PM. You see that the rot is deep in the system. Too…
70,2020-11-04 07:41:18,1323893065891909633,"@Alexander_Had1 @ProudSocialist @JoeBiden @DNC Yup... by the next election, it will have been almost a DECADE of th… https://t.co/90BR9FdpEi"
71,2020-11-04 07:41:18,1323893065619103746,"RT @paulsperry_: The wildly pro-Biden polls were indeed ""suppression polls""

The spiking of the NY Post's bombshell story on Biden corrupti…"
72,2020-11-04 07:41:17,1323893063672946691,RT @ScottyNixon_: Yes take it to supreme court so your forced newly appointed supreme court justice can help you stop getting votes counted…
73,2020-11-04 07:41:14,1323893051501256710,RT @TundeTASH: The camera at Lekki on the day of #LekkiMassaccre stopped working at 8:00PM. You see that the rot is deep in the system. Too…
74,2020-11-04 07:41:14,1323893049550929922,"RT @EtalePhilip: Look at what corruption has done to our country! We are talking of no ICU beds in our hospitals yet some people,within  a…"
75,2020-11-04 07:41:13,1323893047306964995,"RT @MichaelJStern1: Whatever happens, I will never get over the fact that half my country has spent 4 years watching Trump's corruption, bi…"
76,2020-11-04 07:41:13,1323893045616627712,"Well, you wake up to realise that more people like racism, misogyny, corruption, despotism than you thought possibl… https://t.co/kj4h7kFmBN"
77,2020-11-04 07:41:13,1323893045008326662,"RT @MichaelJStern1: Whatever happens, I will never get over the fact that half my country has spent 4 years watching Trump's corruption, bi…"
78,2020-11-04 07:41:12,1323893043003596813,"RT @Citoyenlambda86: @GWGoldnadel L'idéologie de certain est tellement intense qu'elle agit comme une corruption de l'intelligence.
Ce qui…"
79,2020-11-04 07:41:10,1323893034854064130,Y'all could've voted him out. But y'all still voted for his corruption. Fuck y'all.
80,2020-11-04 07:41:09,1323893030705909760,"RT @BeaumontDMD: I fully understand Trump's feelings on postal votes.......they open the political system to all sorts of corruption.

If y…"
81,2020-11-04 07:41:08,1323893026457112579,"With one swift, selfish and unnecessary gambit he may have set in motion a wave of unconscionable corruption, insan… https://t.co/JfSGlI7x4W"
82,2020-11-04 07:41:07,1323893021981741056,RT @usembassyharare: Reports that authorities have again arrested @daddyhope for speaking out against corruption and defending fundamental…
83,2020-11-04 07:41:06,1323893018168946688,Corruption -- Kamala Style
84,2020-11-04 07:41:05,1323893012922048512,"RT @StevenBeschloss: In no surprise, we’ve already learned millions of Americans are not turned off by corruption, cruelty, criminality, ma…"
85,2020-11-04 07:41:04,1323893007373000704,RT @costcopunk: Okay so au where Tommy’s the one w the corruption arc haha #tommyinnit #tommyinnitfanart #dreamsmp https://t.co/1uqYtTHlFh
86,2020-11-04 07:41:04,1323893006945103872,"RT @MichaelJStern1: Whatever happens, I will never get over the fact that half my country has spent 4 years watching Trump's corruption, bi…"
87,2020-11-04 07:41:03,1323893004718002177,"@Manzoor65096707 @gulyousaf @MaryamNSharif @BBhuttoZardari Thank God, PM IK is not a traditional hypocrite Pakistan… https://t.co/OsFkiwxnBr"
88,2020-11-04 07:41:03,1323893003866542080,This is why someone who hasn’t studied law and/or been in a government position shouldn’t be able to even have acce… https://t.co/GTycBkw94o
89,2020-11-04 07:41:03,1323893003216281601,@mhschweich @MarijuanaPolicy Less corruption to work thru
90,2020-11-04 07:41:03,1323893002859876352,"RT @edentravels: Good morning from Bishkek. Here in Central Asia, traders and taxi drivers are asking us foreigners about Trump and Biden.…"
91,2020-11-04 07:41:03,1323893002465644544,"RT @SeyiOjeleye: @DrOlufunmilayo @jidesanwoolu HISTORY REPEATS ITSELF

- FAKE ENQUIRY
- UNKNOWN SOLDIER FROM BONNY CAMP
- BURN BURN
- FAKE…"
92,2020-11-04 07:41:00,1323892991975518209,RT @DavidYoungTBLA: The corruption and deceit is so obvious that outlets can pre-write these articles.
93,2020-11-04 07:40:59,1323892986007244800,"@wewesamwewe @elnathan_john @ok_ish Kenya? Sounds more like Nigeria mate, Africa is a cesspool of anyhowness and brute corruption"
94,2020-11-04 07:40:58,1323892982513283077,"RT @MichaelJStern1: Whatever happens, I will never get over the fact that half my country has spent 4 years watching Trump's corruption, bi…"
95,2020-11-04 07:40:58,1323892982005846019,"@w_terrence Then tell me why Donald Trump is acting like he won? 
And why he also confessed that if he does not win… https://t.co/xlVH5ViXcn"
96,2020-11-04 07:40:57,1323892980114100224,"RT @MichaelJStern1: Whatever happens, I will never get over the fact that half my country has spent 4 years watching Trump's corruption, bi…"
97,2020-11-04 07:40:56,1323892975059890176,"RT @joehagansays: Van Jones hits it on the head: A lot of people expected a ""moral victory"" and not just a political victory from American…"
98,2020-11-04 07:40:56,1323892974913089537,"RT @MichaelJStern1: Whatever happens, I will never get over the fact that half my country has spent 4 years watching Trump's corruption, bi…"
99,2020-11-04 07:40:55,1323892971901755392,RT @Candeliano: La monarquía española no deja de incrementar su prestigio internacional.   https://t.co/dIG2uYW4Ey
100,2020-11-04 07:40:54,1323892965178265603,RT @Jeff19642: @CarolineCoramUK @Nigel_Farage Corruption?
101,2020-11-04 07:40:54,1323892964804866049,"RT @paulsperry_: The wildly pro-Biden polls were indeed ""suppression polls""

The spiking of the NY Post's bombshell story on Biden corrupti…"
102,2020-11-04 07:40:53,1323892962334527489,"RT @AlexanderMcCoy4: Ok, I’m going to bed.

My overall take is: “we endured four years of chaos and open corruption, a massive economic dep…"
103,2020-11-04 07:40:53,1323892961629868032,https://t.co/yj7Y67FPHR
104,2020-11-04 07:40:53,1323892960832806913,@capKinSpAcE @DharmaDreamin @Liney1103 @Putin_t_Rump @classicalricky @MarisolTorresRS @OlesonMoe @OliverKatzz… https://t.co/nvVTbZ2RZt
105,2020-11-04 07:40:51,1323892951617953792,Just like Texas... It's unbelievable the corruption in the media https://t.co/Rxgf6nF2Rn
106,2020-11-04 07:40:50,1323892949101531137,RT @LoriMBryan: I don't. I don't congratulate corruption.
107,2020-11-04 07:40:50,1323892948313034754,"RT @SpyTalker: Trump claims ‘we did win this election, and ‘we want all votes to stop,’ putting the future of our democracy at risk. #fraud…"
108,2020-11-04 07:40:50,1323892948052942849,"@Dev_Fadnavis Why are these DESPERATE Mantris tweeting for Arnab? 

They don’t bother when Common Citizens suffer e… https://t.co/I3Ki7hOCgb"
109,2020-11-04 07:40:49,1323892944533815296,"Of course,  politics are politics. 
#corruption #CorruptPresident https://t.co/oFRUguJ148"
110,2020-11-04 07:40:49,1323892943967629313,RT @Briandanbriguy: His whole speech was a LIE again shows you the type of POS he is America we are Fuked anyone who voted for Trump is dea…
111,2020-11-04 07:40:48,1323892941715374080,"RT @MichaelJStern1: Whatever happens, I will never get over the fact that half my country has spent 4 years watching Trump's corruption, bi…"
112,2020-11-04 07:40:48,1323892939928571904,"RT @Ivote4US2: @AlexVita9 @StevenBeschloss Religious extremism, dehumanizing, discrimination, cruelty, hate, inequality,  corruption, separ…"
113,2020-11-04 07:40:47,1323892936841506818,"in no surprise, we’ve already learned millions of turks are not turned off by corruption, cruelty, criminality, mal… https://t.co/lAFgaTqKeU"
114,2020-11-04 07:40:47,1323892936262578177,"And right on cue, corruption will flip a table &amp; try to play like the rules don't apply here &amp; now https://t.co/vVrKaMkOZb"
115,2020-11-04 07:40:46,1323892933221883905,"RT @doloreselee: 27 years too late but I'll be following this very closely

#StephenLawrence 🖤💙

Four police officers could be prosecuted o…"
116,2020-11-04 07:40:46,1323892930684375043,"RT @PalesaR70903195: @jamil_______ 😂😂 so in short the adverse of what most thought would happen is happening.Trump is winning.

Corruption…"
117,2020-11-04 07:40:45,1323892928331173888,"RT @micsolana: tomorrow, i’ll wake up and think, thank god lorena’s efforts to destroy millions of jobs failed. congrats to all the drivers…"
118,2020-11-04 07:40:45,1323892928213880834,"@ayemojubar Brazil of all countries? Shouldn't we be doing better than that country? Where corruption, incompetence… https://t.co/Q3cQr1VWSj"
119,2020-11-04 07:40:42,1323892917652590593,@SebGorka @karenmiller777 Trump leading the rest of the states with high margins &amp; they decide to stop the election… https://t.co/OXpEnrOh7S
120,2020-11-04 07:40:42,1323892916750753793,"RT @XRPcryptowolf: #Blockchain is a powerful tool in fighting against Government and economic corruption, according to an official at the U…"
121,2020-11-04 07:40:42,1323892914741628928,"RT @MichaelJStern1: Whatever happens, I will never get over the fact that half my country has spent 4 years watching Trump's corruption, bi…"
122,2020-11-04 07:40:41,1323892910702628870,"RT @joehagansays: Van Jones hits it on the head: A lot of people expected a ""moral victory"" and not just a political victory from American…"
123,2020-11-04 07:40:41,1323892910425780225,"RT @dylanobrien: If you’re still somehow undecided...

Democracy is at stake. Fascism knocking at the door. Tap into your humanity for a se…"
124,2020-11-04 07:40:40,1323892909347778563,"RT @GypsyDraven: Trump just confirmed what we all knew and feared!

Many State's completely stopped counting ballots the minute they knew t…"
125,2020-11-04 07:40:40,1323892907275816961,"RT @vinay1011: All the three parties that are ruling Maharashtra have three things in common! They are dynastic parties, many of their lead…"
126,2020-11-04 07:40:39,1323892901420683266,"RT @dylanobrien: If you’re still somehow undecided...

Democracy is at stake. Fascism knocking at the door. Tap into your humanity for a se…"
127,2020-11-04 07:40:37,1323892895229894657,"@zazarodri Ça les arrange lol, beaucoup plus simple pour la corruption 🙃"
128,2020-11-04 07:40:37,1323892894936322049,"The guardia civil’s nazi Volkhov tapes reveal more ERC corruption

LES CINTES NAZIS VOLKHOV DE LA GUARDIA CIVIL DES… https://t.co/Ejrg80aGby"
129,2020-11-04 07:40:37,1323892892763500544,"RT @KylePlantEmoji: ""but there was corruption"" you were elected, fight it

""But there was interference"" you were elected to fight it

""Misi…"
130,2020-11-04 07:40:36,1323892890666323969,"RT @MichaelJStern1: Whatever happens, I will never get over the fact that half my country has spent 4 years watching Trump's corruption, bi…"
131,2020-11-04 07:40:36,1323892890532106240,@BJP4India @sambitswaraj Can u plz explain what ur government did in karnataka ur yedurappa government closed a new… https://t.co/hgAhe9idJ6
132,2020-11-04 07:40:36,1323892888774823939,"RT @Joshuabasiima: So that NRM gig was 200k?? You were influencing for another five years of poverty, poor health systems, poor roads, fake…"
133,2020-11-04 07:40:35,1323892888304979969,"@benshapiro Hey Ben, Jew to Jew, brother to brother: do you see what we mean now? You can be conservative, and not… https://t.co/hw3PzmqgFJ"
134,2020-11-04 07:40:33,1323892879232675845,"RT @AyodejiOsowobi: What’s the value of a Nigerian life? Pelumi Onifade whose life was cut short, was a budding journalist documenting hist…"
135,2020-11-04 07:40:33,1323892877563326464,"RT @vinay1011: All the three parties that are ruling Maharashtra have three things in common! They are dynastic parties, many of their lead…"
136,2020-11-04 07:40:32,1323892873872461824,"RT @YomYom_: I used to think our problem was ‘Corruption’ 

Later on, i felt it was “Religion” 

At some point, it struck me like it was “T…"
137,2020-11-04 07:40:32,1323892871934730242,"RT @dylanobrien: If you’re still somehow undecided...

Democracy is at stake. Fascism knocking at the door. Tap into your humanity for a se…"
138,2020-11-04 07:40:30,1323892865743814656,#ArnabWeAreWithYou #ArnabGoswami #MaharashtraEmergency Now center must intervene to protect law abiding citizens of… https://t.co/4NrSzG3H40
139,2020-11-04 07:40:29,1323892861494915073,@LisaDNews I can’t understand how he has any right to say this. Are we really facing four more years of zero comeup… https://t.co/DUWPlE1jLu
140,2020-11-04 07:40:28,1323892854943551488,"@volz_le @richarddmorey I dunno. Broken electoral system in FPTP, personalities promoted over policies, mendacity a… https://t.co/GWyMbu1k3I"
141,2020-11-04 07:40:27,1323892854872330241,"RT @VusiThembekwayo: This is not a statement about BEE or the validity of a Transformation imperative: 

What is the clear from the testimo…"
142,2020-11-04 07:40:27,1323892853903253505,@DrPhilGoff Why!! They got them first!   That’s the corruption
143,2020-11-04 07:40:27,1323892851667861504,"Now begins the Democrat Party  spin,  cheating and corruption! Get it together Republicans.  It’s time to  back our President!"
144,2020-11-04 07:40:26,1323892850036269057,"Thanks everyone that thought 1000 dying everyday, children locked in cages without any hope of finding their parent… https://t.co/2V1Sf5uWEJ"
145,2020-11-04 07:40:26,1323892849365020672,"RT @MichaelJStern1: Whatever happens, I will never get over the fact that half my country has spent 4 years watching Trump's corruption, bi…"
146,2020-11-04 07:40:25,1323892846332620802,"@TeamTrump @realDonaldTrump Wow, the corruption. It’s like watching Lukashenko. If this goon really wins, I’m movin… https://t.co/fx4pJNTcVF"
147,2020-11-04 07:40:25,1323892844772397056,"RT @MichaelJStern1: Whatever happens, I will never get over the fact that half my country has spent 4 years watching Trump's corruption, bi…"
148,2020-11-04 07:40:25,1323892843866320896,"RT @MohdUmair00786: My dear biharis,You people have seen the BJP's work.What have you done in these 15 years

Neither gave employment to yo…"
149,2020-11-04 07:40:24,1323892839051190272,RT @SDiaso: Only what's keeping the present day Nigeria indivisible is #Corruption. Nigeria can only die the very day #Corruption is elimin…
