country,duration_mean,duration_min,duration_max,duration_median,topic2_mean,topic2_min,topic2_max,topic2_median,topic3_mean,topic3_min,topic3_max,topic3_median,topic4_mean,topic4_min,topic4_max,topic4_median
Panama,4,4,4,4,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.83,0.83,0.83,0.83
Paraguay,2.75,2,3,3,0.0675,0.04,0.09,0.07,0.1325,0.06,0.31,0.08,0.5525,0.07,0.81,0.665
Peru,4,3,5,4,0.032,0.03,0.04,0.03,0.066,0.03,0.2,0.03,0.842,0.7,0.89,0.88
Philippines,4,2,8,4,0.033333333,0.03,0.04,0.03,0.16,0.03,0.88,0.04,0.7325,0.03,0.88,0.845
Russia,4.6,3,9,4,0.034,0.03,0.04,0.03,0.284,0.03,0.81,0.04,0.624,0.09,0.89,0.86
Rwanda,0,0,0,0,0.27,0.27,0.27,0.27,0.05,0.05,0.05,0.05,0.59,0.59,0.59,0.59
SENEGAL,0,0,0,0,0.1,0.1,0.1,0.1,0.04,0.04,0.04,0.04,0.77,0.77,0.77,0.77
Serbia,4,2,5,5,0.03,0.03,0.03,0.03,0.428,0.03,0.86,0.36,0.476,0.04,0.89,0.53
Sierra Leone,3,2,4,3,0.03,0.03,0.03,0.03,0.225,0.03,0.42,0.225,0.675,0.48,0.87,0.675
Sri Lanka,4,2,5,5,0.033333333,0.03,0.04,0.03,0.033333333,0.03,0.04,0.03,0.873333333,0.85,0.9,0.87
Thailand,5,5,5,5,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.9,0.9,0.9,0.9
Turkmenistan,4,4,4,4,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.85,0.85,0.85,0.85
Uganda,2.5,2,3,2.5,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.815,0.79,0.84,0.815
Ukraine,3.375,2,5,3,0.03875,0.03,0.07,0.035,0.54125,0.03,0.83,0.66,0.33875,0.04,0.88,0.215
Vietnam,3.5,3,4,3.5,0.04,0.04,0.04,0.04,0.845,0.84,0.85,0.845,0.04,0.04,0.04,0.04
West Bank and Gaza,4.2,2,6,4.5,0.047,0.03,0.16,0.03,0.313,0.03,0.88,0.04,0.58,0.03,0.9,0.785
Yemen,4,3,5,4,0.096666667,0.03,0.22,0.04,0.036666667,0.03,0.04,0.04,0.8,0.65,0.9,0.85
Zambia,2.5,2,3,2.5,0.035,0.03,0.04,0.035,0.43,0.03,0.83,0.43,0.45,0.04,0.86,0.45
